"obligations_incurred_by_program_object_class_cpe","reporting_period_start","budget_function_code","budget_function_title","budget_subfunction_code","budget_subfunction_title","major_object_class","major_object_class_name","object_class","object_class_name"
4856706.49,"2018-04-01","800","General Government","806","General purpose fiscal assistance","40","Grants and fixed charges","440","Refunds"
18523070.25,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","20","Contractual services and supplies","231","Rental payments to GSA"
5206140.74,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","40","Grants and fixed charges","430","Interest and dividends"
38407530.92,"2018-04-01","800","General Government","803","Central fiscal operations","10","Personnel compensation and benefits","130","Benefits for former personnel"
2436706.19,"2018-04-01","600","Income Security","609","Other income security","20","Contractual services and supplies","255","Research and development contracts"
44031006.11,"2018-04-01","800","General Government","806","General purpose fiscal assistance","30","Acquisition of assets","320","Land and structures"
41409794.54,"2018-04-01","800","General Government","804","General property and records management","10","Personnel compensation and benefits","115","Other personnel compensation"
630491235.69,"2018-04-01","550","Health","551","Health care services","90","Other","940","Financial transfers"
380,"2018-04-01","800","General Government","808","Other general government","20","Contractual services and supplies","256","Medical care"
7519293.05,"2018-04-01","270","Energy","271","Energy supply","10","Personnel compensation and benefits","113","Other than full-time permanent"
19913382.36,"2018-04-01","370","Commerce and Housing Credit","373","Deposit insurance","20","Contractual services and supplies","252","Other services from non-Federal sources"
14954929.88,"2018-04-01","050","National Defense","054","Defense-related activities","20","Contractual services and supplies","220","Transportation of things"
0,"2018-04-01","600","Income Security","603","Unemployment compensation","90","Other","910","Unvouchered"
153026036380.96,"2018-04-01","600","Income Security","609","Other income security","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
1645158823.16,"2018-04-01","150","International Affairs","155","International financial programs","20","Contractual services and supplies","252","Other services from non-Federal sources"
9645346.09,"2018-04-01","800","General Government","806","General purpose fiscal assistance","10","Personnel compensation and benefits","113","Other than full-time permanent"
10596.01,"2018-04-01","050","National Defense","054","Defense-related activities","10","Personnel compensation and benefits","117","Military personnel"
6379650.5,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","20","Contractual services and supplies","254","Operation and maintenance of facilities"
193057.86,"2018-04-01","270","Energy","274","Emergency energy preparedness","10","Personnel compensation and benefits","115","Other personnel compensation"
450928122.07,"2018-04-01","800","General Government","803","Central fiscal operations","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
5896749.27,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","20","Contractual services and supplies","232","Rental payments to others"
1774404.61,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","10","Personnel compensation and benefits","117","Military personnel"
729832628977.92,"2018-04-01","650","Social Security","651","Social security","40","Grants and fixed charges","420","Insurance claims and indemnities"
16798.2,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","40","Grants and fixed charges","430","Interest and dividends"
188042721.48,"2018-04-01","400","Transportation","403","Water transportation","20","Contractual services and supplies","254","Operation and maintenance of facilities"
609526.82,"2018-04-01","600","Income Security","605","Food and nutrition assistance","10","Personnel compensation and benefits","113","Other than full-time permanent"
15826345.02,"2018-04-01","700","Veterans Benefits and Services","703","Hospital and medical care for veterans","20","Contractual services and supplies","231","Rental payments to GSA"
85242955.43,"2018-04-01","500","Education, Training, Employment, and Social Services","504","Training and employment","10","Personnel compensation and benefits","111","Full-time permanent"
4735.86,"2018-04-01","700","Veterans Benefits and Services","703","Hospital and medical care for veterans","30","Acquisition of assets","330","Investments and loans"
8767.05,"2018-04-01","550","Health","554","Consumer and occupational health and safety","20","Contractual services and supplies","258","Subsistence and support of persons"
187675.65,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","20","Contractual services and supplies","256","Medical care"
16513986.86,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","10","Personnel compensation and benefits","115","Other personnel compensation"
2655629,"2018-04-01","450","Community and Regional Development","451","Community development","90","Other","940","Financial transfers"
0,"2018-04-01","150","International Affairs","155","International financial programs","10","Personnel compensation and benefits","115","Other personnel compensation"
11237.13,"2018-04-01","800","General Government","801","Legislative functions","20","Contractual services and supplies","232","Rental payments to others"
212883016.01,"2018-04-01","270","Energy","271","Energy supply","10","Personnel compensation and benefits","121","Civilian personnel benefits"
159375528.58,"2018-04-01","800","General Government","803","Central fiscal operations","10","Personnel compensation and benefits","115","Other personnel compensation"
1048274.97,"2018-04-01","800","General Government","806","General purpose fiscal assistance","20","Contractual services and supplies","210","Travel and transportation of persons"
5596736.69,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","20","Contractual services and supplies","240","Printing and reproduction"
77828079.29,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","10","Personnel compensation and benefits","111","Full-time permanent"
0,"2018-04-01","370","Commerce and Housing Credit","371","Mortgage credit","20","Contractual services and supplies","251","Advisory and assistance services"
44076667.33,"2018-04-01","250","General Science, Space, and Technology","251","General science and basic research","20","Contractual services and supplies","252","Other services from non-Federal sources"
47845827,"2018-04-01","600","Income Security","604","Housing assistance","20","Contractual services and supplies","231","Rental payments to GSA"
5116485.89,"2018-04-01","350","Agriculture","352","Agricultural research and services","40","Grants and fixed charges","420","Insurance claims and indemnities"
8844274.82,"2018-04-01","150","International Affairs","152","International security assistance","10","Personnel compensation and benefits","121","Civilian personnel benefits"
800029.41,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","10","Personnel compensation and benefits","118","Special personal services payments"
62470.7,"2018-04-01","450","Community and Regional Development","452","Area and regional development","10","Personnel compensation and benefits","118","Special personal services payments"
30610375.55,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","20","Contractual services and supplies","254","Operation and maintenance of facilities"
13145264277.24,"2018-04-01","600","Income Security","604","Housing assistance","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
17340717.89,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","40","Grants and fixed charges","420","Insurance claims and indemnities"
2167847.04,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","10","Personnel compensation and benefits","122","Military personnel benefits"
13742381.35,"2018-04-01","500","Education, Training, Employment, and Social Services","504","Training and employment","20","Contractual services and supplies","251","Advisory and assistance services"
0,"2018-04-01","570","Medicare","571","Medicare","00","Unknown","000",""
6689934988.69,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","20","Contractual services and supplies","253","Other goods and services from Federal sources"
33140.6,"2018-04-01","500","Education, Training, Employment, and Social Services","501","Elementary, secondary, and vocational education","30","Acquisition of assets","310","Equipment"
1612279538.86,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","20","Contractual services and supplies","251","Advisory and assistance services"
393629827.02,"2018-04-01","800","General Government","805","Central personnel management","10","Personnel compensation and benefits","111","Full-time permanent"
246654050.78,"2018-04-01","800","General Government","801","Legislative functions","10","Personnel compensation and benefits","111","Full-time permanent"
2825035047.18,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","10","Personnel compensation and benefits","111","Full-time permanent"
818295.69,"2018-04-01","700","Veterans Benefits and Services","705","Other veterans benefits and services","40","Grants and fixed charges","420","Insurance claims and indemnities"
0.01,"2018-04-01","800","General Government","806","General purpose fiscal assistance","40","Grants and fixed charges","430","Interest and dividends"
-251387.05,"2018-04-01","450","Community and Regional Development","452","Area and regional development","00","Unknown","000",""
603297.96,"2018-04-01","050","National Defense","053","Atomic energy defense activities","40","Grants and fixed charges","420","Insurance claims and indemnities"
442280206.59,"2018-04-01","800","General Government","805","Central personnel management","20","Contractual services and supplies","251","Advisory and assistance services"
22021080.01,"2018-04-01","250","General Science, Space, and Technology","251","General science and basic research","20","Contractual services and supplies","210","Travel and transportation of persons"
5694078,"2018-04-01","650","Social Security","651","Social security","20","Contractual services and supplies","255","Research and development contracts"
1070980.34,"2018-04-01","550","Health","554","Consumer and occupational health and safety","30","Acquisition of assets","320","Land and structures"
161140.46,"2018-04-01","800","General Government","806","General purpose fiscal assistance","20","Contractual services and supplies","240","Printing and reproduction"
27819251.82,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","20","Contractual services and supplies","252","Other services from non-Federal sources"
0,"2018-04-01","350","Agriculture","352","Agricultural research and services","30","Acquisition of assets","330","Investments and loans"
1187059.49,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","00","Unknown","000",""
182415,"2018-04-01","050","National Defense","051","Department of Defense-Military","00","Unknown","000",""
8695576.14,"2018-04-01","400","Transportation","401","Ground transportation","30","Acquisition of assets","310","Equipment"
80783.43,"2018-04-01","150","International Affairs","154","Foreign information and exchange activities","40","Grants and fixed charges","420","Insurance claims and indemnities"
501153178.65,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","10","Personnel compensation and benefits","111","Full-time permanent"
6441541.2,"2018-04-01","650","Social Security","651","Social security","20","Contractual services and supplies","220","Transportation of things"
196702377.55,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","30","Acquisition of assets","310","Equipment"
4961532.43,"2018-04-01","500","Education, Training, Employment, and Social Services","506","Social services","10","Personnel compensation and benefits","113","Other than full-time permanent"
313019195.24,"2018-04-01","800","General Government","803","Central fiscal operations","30","Acquisition of assets","310","Equipment"
122787.26,"2018-04-01","400","Transportation","401","Ground transportation","10","Personnel compensation and benefits","118","Special personal services payments"
3097371.1,"2018-04-01","550","Health","552","Health research and training","10","Personnel compensation and benefits","115","Other personnel compensation"
70682372.72,"2018-04-01","350","Agriculture","351","Farm income stabilization","20","Contractual services and supplies","251","Advisory and assistance services"
39294.37,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","30","Acquisition of assets","330","Investments and loans"
262056.62,"2018-04-01","400","Transportation","407","Other transportation","20","Contractual services and supplies","220","Transportation of things"
347728.29,"2018-04-01","700","Veterans Benefits and Services","702","Veterans education, training, and rehabilitation","10","Personnel compensation and benefits","115","Other personnel compensation"
399960434.26,"2018-04-01","370","Commerce and Housing Credit","373","Deposit insurance","20","Contractual services and supplies","251","Advisory and assistance services"
78325220.56,"2018-04-01","700","Veterans Benefits and Services","703","Hospital and medical care for veterans","20","Contractual services and supplies","251","Advisory and assistance services"
33270123.28,"2018-04-01","800","General Government","804","General property and records management","40","Grants and fixed charges","430","Interest and dividends"
25928552.04,"2018-04-01","500","Education, Training, Employment, and Social Services","506","Social services","20","Contractual services and supplies","231","Rental payments to GSA"
-521.6,"2018-04-01","300","Natural Resources and Environment","303","Recreational resources","90","Other","910","Unvouchered"
286853732.07,"2018-04-01","550","Health","552","Health research and training","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
611533.52,"2018-04-01","450","Community and Regional Development","452","Area and regional development","90","Other","920","Undistributed"
0,"2018-04-01","800","General Government","806","General purpose fiscal assistance","00","Unknown","000",""
658218.95,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","40","Grants and fixed charges","420","Insurance claims and indemnities"
8838940016.75,"2018-04-01","700","Veterans Benefits and Services","703","Hospital and medical care for veterans","20","Contractual services and supplies","260","Supplies and materials"
90131255.3,"2018-04-01","400","Transportation","407","Other transportation","20","Contractual services and supplies","253","Other goods and services from Federal sources"
2133022.11,"2018-04-01","800","General Government","806","General purpose fiscal assistance","10","Personnel compensation and benefits","115","Other personnel compensation"
2839390.09,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","10","Personnel compensation and benefits","115","Other personnel compensation"
105889363.65,"2018-04-01","350","Agriculture","352","Agricultural research and services","20","Contractual services and supplies","260","Supplies and materials"
20068667.33,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
43536.8,"2018-04-01","550","Health","554","Consumer and occupational health and safety","40","Grants and fixed charges","430","Interest and dividends"
16235767.57,"2018-04-01","800","General Government","804","General property and records management","30","Acquisition of assets","330","Investments and loans"
32212983.04,"2018-04-01","800","General Government","805","Central personnel management","20","Contractual services and supplies","210","Travel and transportation of persons"
36723.25,"2018-04-01","050","National Defense","051","Department of Defense-Military","20","Contractual services and supplies","210","Travel and transportation of persons"
34014190.04,"2018-04-01","800","General Government","803","Central fiscal operations","20","Contractual services and supplies","210","Travel and transportation of persons"
457204.45,"2018-04-01","600","Income Security","604","Housing assistance","20","Contractual services and supplies","257","Operation and maintenance of equipment"
1589167.12,"2018-04-01","050","National Defense","054","Defense-related activities","20","Contractual services and supplies","240","Printing and reproduction"
20424179.39,"2018-04-01","300","Natural Resources and Environment","301","Water resources","30","Acquisition of assets","310","Equipment"
44208776.29,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","10","Personnel compensation and benefits","130","Benefits for former personnel"
38983.36,"2018-04-01","800","General Government","808","Other general government","20","Contractual services and supplies","254","Operation and maintenance of facilities"
-16309.32,"2018-04-01","550","Health","554","Consumer and occupational health and safety","00","Unknown","000",""
3895719.09,"2018-04-01","750","Administration of Justice","752","Federal litigative and judicial activities","20","Contractual services and supplies","240","Printing and reproduction"
13902218.85,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","10","Personnel compensation and benefits","113","Other than full-time permanent"
0,"2018-04-01","800","General Government","803","Central fiscal operations","00","Unknown","000",""
200479747.18,"2018-04-01","050","National Defense","054","Defense-related activities","30","Acquisition of assets","310","Equipment"
671762528.25,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","40","Grants and fixed charges","440","Refunds"
102679.48,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","40","Grants and fixed charges","420","Insurance claims and indemnities"
201904678.68,"2018-04-01","400","Transportation","403","Water transportation","20","Contractual services and supplies","210","Travel and transportation of persons"
293483.94,"2018-04-01","500","Education, Training, Employment, and Social Services","506","Social services","30","Acquisition of assets","310","Equipment"
623559163.11,"2018-04-01","050","National Defense","054","Defense-related activities","20","Contractual services and supplies","231","Rental payments to GSA"
243353197.61,"2018-04-01","050","National Defense","053","Atomic energy defense activities","20","Contractual services and supplies","257","Operation and maintenance of equipment"
1752570.71,"2018-04-01","800","General Government","805","Central personnel management","40","Grants and fixed charges","430","Interest and dividends"
6136917.83,"2018-04-01","500","Education, Training, Employment, and Social Services","501","Elementary, secondary, and vocational education","20","Contractual services and supplies","251","Advisory and assistance services"
4423903849.53,"2018-04-01","550","Health","551","Health care services","20","Contractual services and supplies","260","Supplies and materials"
1658367664.49,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","20","Contractual services and supplies","253","Other goods and services from Federal sources"
29873.26,"2018-04-01","270","Energy","272","Energy conservation","20","Contractual services and supplies","232","Rental payments to others"
2799836136.62,"2018-04-01","400","Transportation","402","Air transportation","10","Personnel compensation and benefits","121","Civilian personnel benefits"
618793737.89,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","20","Contractual services and supplies","251","Advisory and assistance services"
1828782.34,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","20","Contractual services and supplies","210","Travel and transportation of persons"
150000000,"2018-04-01","550","Health","552","Health research and training","00","Unknown","000",""
2274043.71,"2018-04-01","800","General Government","808","Other general government","10","Personnel compensation and benefits","118","Special personal services payments"
15.8,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","10","Personnel compensation and benefits","116","Military personnel - basic allowance for housing"
208745670.92,"2018-04-01","500","Education, Training, Employment, and Social Services","505","Other labor services","20","Contractual services and supplies","253","Other goods and services from Federal sources"
1880.71,"2018-04-01","800","General Government","806","General purpose fiscal assistance","20","Contractual services and supplies","220","Transportation of things"
72988966.05,"2018-04-01","500","Education, Training, Employment, and Social Services","503","Research and general education aids","20","Contractual services and supplies","255","Research and development contracts"
302472.48,"2018-04-01","700","Veterans Benefits and Services","702","Veterans education, training, and rehabilitation","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
-1141667.38,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","30","Acquisition of assets","320","Land and structures"
287085.17,"2018-04-01","600","Income Security","604","Housing assistance","40","Grants and fixed charges","420","Insurance claims and indemnities"
387252,"2018-04-01","900","Net Interest","908","Other interest","20","Contractual services and supplies","252","Other services from non-Federal sources"
203727424709.86,"2018-04-01","570","Medicare","571","Medicare","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
34594446.96,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","20","Contractual services and supplies","232","Rental payments to others"
344170.99,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","20","Contractual services and supplies","258","Subsistence and support of persons"
42913.39,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","20","Contractual services and supplies","220","Transportation of things"
315966447.8,"2018-04-01","050","National Defense","054","Defense-related activities","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
5518779.5,"2018-04-01","270","Energy","276","Energy information, policy, and regulation","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
0,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","20","Contractual services and supplies","231","Rental payments to GSA"
7128910.67,"2018-04-01","800","General Government","805","Central personnel management","20","Contractual services and supplies","256","Medical care"
36165767.84,"2018-04-01","750","Administration of Justice","754","Criminal justice assistance","00","Unknown","000",""
3443560.19,"2018-04-01","800","General Government","806","General purpose fiscal assistance","30","Acquisition of assets","310","Equipment"
3606470.12,"2018-04-01","450","Community and Regional Development","451","Community development","10","Personnel compensation and benefits","115","Other personnel compensation"
290189683.61,"2018-04-01","400","Transportation","403","Water transportation","10","Personnel compensation and benefits","122","Military personnel benefits"
1491018.4,"2018-04-01","800","General Government","805","Central personnel management","10","Personnel compensation and benefits","118","Special personal services payments"
29808395.11,"2018-04-01","500","Education, Training, Employment, and Social Services","504","Training and employment","20","Contractual services and supplies","257","Operation and maintenance of equipment"
493031467.04,"2018-04-01","400","Transportation","401","Ground transportation","10","Personnel compensation and benefits","111","Full-time permanent"
2305309130.63,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","20","Contractual services and supplies","231","Rental payments to GSA"
0,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","10","Personnel compensation and benefits","130","Benefits for former personnel"
47002688.27,"2018-04-01","050","National Defense","054","Defense-related activities","40","Grants and fixed charges","420","Insurance claims and indemnities"
24647068.58,"2018-04-01","050","National Defense","054","Defense-related activities","10","Personnel compensation and benefits","113","Other than full-time permanent"
3803450236.33,"2018-04-01","550","Health","551","Health care services","20","Contractual services and supplies","252","Other services from non-Federal sources"
92572304.64,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","30","Acquisition of assets","310","Equipment"
0.01,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","00","Unknown","000",""
4506599.13,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","20","Contractual services and supplies","256","Medical care"
2248698472.17,"2018-04-01","650","Social Security","651","Social security","20","Contractual services and supplies","252","Other services from non-Federal sources"
9931806,"2018-04-01","500","Education, Training, Employment, and Social Services","501","Elementary, secondary, and vocational education","20","Contractual services and supplies","255","Research and development contracts"
1035393.16,"2018-04-01","570","Medicare","571","Medicare","10","Personnel compensation and benefits","122","Military personnel benefits"
-126.94,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","10","Personnel compensation and benefits","118","Special personal services payments"
428122759.28,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","20","Contractual services and supplies","254","Operation and maintenance of facilities"
26.45,"2018-04-01","700","Veterans Benefits and Services","701","Income security for veterans","90","Other","940","Financial transfers"
91327036.31,"2018-04-01","450","Community and Regional Development","452","Area and regional development","20","Contractual services and supplies","251","Advisory and assistance services"
31790354.07,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","20","Contractual services and supplies","260","Supplies and materials"
350784.43,"2018-04-01","450","Community and Regional Development","452","Area and regional development","20","Contractual services and supplies","220","Transportation of things"
79225.6,"2018-04-01","270","Energy","271","Energy supply","20","Contractual services and supplies","256","Medical care"
5356.6,"2018-04-01","050","National Defense","051","Department of Defense-Military","20","Contractual services and supplies","260","Supplies and materials"
7340707.49,"2018-04-01","750","Administration of Justice","753","Federal correctional activities","20","Contractual services and supplies","257","Operation and maintenance of equipment"
28762.62,"2018-04-01","700","Veterans Benefits and Services","702","Veterans education, training, and rehabilitation","20","Contractual services and supplies","260","Supplies and materials"
592357.7,"2018-04-01","450","Community and Regional Development","452","Area and regional development","20","Contractual services and supplies","240","Printing and reproduction"
26567330.2,"2018-04-01","600","Income Security","609","Other income security","10","Personnel compensation and benefits","121","Civilian personnel benefits"
54521.33,"2018-04-01","450","Community and Regional Development","452","Area and regional development","20","Contractual services and supplies","258","Subsistence and support of persons"
25631748.83,"2018-04-01","500","Education, Training, Employment, and Social Services","504","Training and employment","30","Acquisition of assets","320","Land and structures"
934907.78,"2018-04-01","050","National Defense","054","Defense-related activities","20","Contractual services and supplies","258","Subsistence and support of persons"
78872428.07,"2018-04-01","450","Community and Regional Development","452","Area and regional development","30","Acquisition of assets","330","Investments and loans"
7676804.53,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","20","Contractual services and supplies","258","Subsistence and support of persons"
14863.56,"2018-04-01","700","Veterans Benefits and Services","702","Veterans education, training, and rehabilitation","30","Acquisition of assets","310","Equipment"
40480802343,"2018-04-01","550","Health","551","Health care services","20","Contractual services and supplies","256","Medical care"
770327.15,"2018-04-01","400","Transportation","402","Air transportation","10","Personnel compensation and benefits","118","Special personal services payments"
156380906.9,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","20","Contractual services and supplies","210","Travel and transportation of persons"
82.09,"2018-04-01","370","Commerce and Housing Credit","371","Mortgage credit","40","Grants and fixed charges","430","Interest and dividends"
32936496.93,"2018-04-01","500","Education, Training, Employment, and Social Services","502","Higher education","20","Contractual services and supplies","253","Other goods and services from Federal sources"
96560204.46,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","20","Contractual services and supplies","260","Supplies and materials"
107402554.47,"2018-04-01","350","Agriculture","351","Farm income stabilization","20","Contractual services and supplies","232","Rental payments to others"
63.21,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","10","Personnel compensation and benefits","118","Special personal services payments"
64739834.29,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","10","Personnel compensation and benefits","115","Other personnel compensation"
33831566.89,"2018-04-01","800","General Government","805","Central personnel management","20","Contractual services and supplies","260","Supplies and materials"
322456.79,"2018-04-01","270","Energy","272","Energy conservation","30","Acquisition of assets","310","Equipment"
409092617.57,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","20","Contractual services and supplies","220","Transportation of things"
7822442.91,"2018-04-01","350","Agriculture","351","Farm income stabilization","10","Personnel compensation and benefits","113","Other than full-time permanent"
2242353020.29,"2018-04-01","700","Veterans Benefits and Services","703","Hospital and medical care for veterans","30","Acquisition of assets","320","Land and structures"
131003438.81,"2018-04-01","300","Natural Resources and Environment","301","Water resources","20","Contractual services and supplies","252","Other services from non-Federal sources"
97913.29,"2018-04-01","600","Income Security","604","Housing assistance","30","Acquisition of assets","310","Equipment"
76170451.1,"2018-04-01","300","Natural Resources and Environment","306","Other natural resources","10","Personnel compensation and benefits","113","Other than full-time permanent"
156982.67,"2018-04-01","050","National Defense","053","Atomic energy defense activities","20","Contractual services and supplies","240","Printing and reproduction"
2767023.63,"2018-04-01","800","General Government","802","Executive direction and management","90","Other","940","Financial transfers"
27016390.35,"2018-04-01","150","International Affairs","151","International development and humanitarian assistance","20","Contractual services and supplies","220","Transportation of things"
59994.53,"2018-04-01","600","Income Security","602","Federal employee retirement and disability","20","Contractual services and supplies","210","Travel and transportation of persons"
18388738.01,"2018-04-01","550","Health","552","Health research and training","20","Contractual services and supplies","251","Advisory and assistance services"
119974785.81,"2018-04-01","270","Energy","271","Energy supply","20","Contractual services and supplies","253","Other goods and services from Federal sources"
416278607.91,"2018-04-01","150","International Affairs","153","Conduct of foreign affairs","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
11099647.25,"2018-04-01","370","Commerce and Housing Credit","376","Other advancement of commerce","10","Personnel compensation and benefits","130","Benefits for former personnel"
192718300.14,"2018-04-01","550","Health","551","Health care services","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
63632332.12,"2018-04-01","150","International Affairs","154","Foreign information and exchange activities","20","Contractual services and supplies","252","Other services from non-Federal sources"
84203.21,"2018-04-01","800","General Government","804","General property and records management","20","Contractual services and supplies","256","Medical care"
74951741.65,"2018-04-01","400","Transportation","402","Air transportation","30","Acquisition of assets","320","Land and structures"
1936381.5,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","20","Contractual services and supplies","260","Supplies and materials"
75938705.49,"2018-04-01","050","National Defense","053","Atomic energy defense activities","20","Contractual services and supplies","210","Travel and transportation of persons"
11100457.02,"2018-04-01","400","Transportation","407","Other transportation","20","Contractual services and supplies","255","Research and development contracts"
1384562548.27,"2018-04-01","350","Agriculture","352","Agricultural research and services","10","Personnel compensation and benefits","111","Full-time permanent"
116014289.31,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","20","Contractual services and supplies","232","Rental payments to others"
8271509.32,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
24953175.24,"2018-04-01","400","Transportation","402","Air transportation","20","Contractual services and supplies","220","Transportation of things"
13068772.15,"2018-04-01","400","Transportation","407","Other transportation","30","Acquisition of assets","310","Equipment"
71.44,"2018-04-01","250","General Science, Space, and Technology","252","Space flight, research, and supporting activities","20","Contractual services and supplies","258","Subsistence and support of persons"
863260.31,"2018-04-01","800","General Government","808","Other general government","20","Contractual services and supplies","260","Supplies and materials"
40786157.28,"2018-04-01","800","General Government","805","Central personnel management","30","Acquisition of assets","310","Equipment"
31739912.26,"2018-04-01","550","Health","551","Health care services","20","Contractual services and supplies","240","Printing and reproduction"
11550.29,"2018-04-01","150","International Affairs","152","International security assistance","30","Acquisition of assets","320","Land and structures"
134626031.53,"2018-04-01","600","Income Security","609","Other income security","20","Contractual services and supplies","252","Other services from non-Federal sources"
1549102660.56,"2018-04-01","750","Administration of Justice","751","Federal law enforcement activities","20","Contractual services and supplies","253","Other goods and services from Federal sources"
69814128.82,"2018-04-01","600","Income Security","601","General retirement and disability insurance (excluding social se","10","Personnel compensation and benefits","121","Civilian personnel benefits"
14895833.23,"2018-04-01","650","Social Security","651","Social security","20","Contractual services and supplies","210","Travel and transportation of persons"
379320615.45,"2018-04-01","400","Transportation","403","Water transportation","30","Acquisition of assets","310","Equipment"
1133410.43,"2018-04-01","350","Agriculture","351","Farm income stabilization","20","Contractual services and supplies","240","Printing and reproduction"
197280.71,"2018-04-01","800","General Government","801","Legislative functions","10","Personnel compensation and benefits","130","Benefits for former personnel"
868243689.55,"2018-04-01","700","Veterans Benefits and Services","703","Hospital and medical care for veterans","20","Contractual services and supplies","233","Communications, utilities, and miscellaneous charges"
405089537.8,"2018-04-01","300","Natural Resources and Environment","301","Water resources","10","Personnel compensation and benefits","111","Full-time permanent"
-30276791.88,"2018-04-01","350","Agriculture","352","Agricultural research and services","00","Unknown","000",""
5782915777.15,"2018-04-01","500","Education, Training, Employment, and Social Services","504","Training and employment","40","Grants and fixed charges","410","Grants, subsidies, and contributions"
4523311.57,"2018-04-01","300","Natural Resources and Environment","304","Pollution control and abatement","10","Personnel compensation and benefits","130","Benefits for former personnel"
120701977.69,"2018-04-01","300","Natural Resources and Environment","302","Conservation and land management","10","Personnel compensation and benefits","113","Other than full-time permanent"
464902072.05,"2018-04-01","400","Transportation","402","Air transportation","20","Contractual services and supplies","257","Operation and maintenance of equipment"
191303714.78,"2018-04-01","450","Community and Regional Development","453","Disaster relief and insurance","20","Contractual services and supplies","257","Operation and maintenance of equipment"
1967.32,"2018-04-01","050","National Defense","051","Department of Defense-Military","20","Contractual services and supplies","253","Other goods and services from Federal sources"
