"Agency","Subagency","Title","federal_account_id","q","fy","reporting_period_end","Obligation","Unobligated"
"Department of Transportation","Federal Transit Administration","Public Transportation Emergency Relief Program, Federal Transit Administration, Transportation",5044,"4","2017","2017-09-30",2097766826.61,3006208821.52
"Department of Transportation","Federal Transit Administration","Research, Training, and Human Resources, Federal Transit Administration, Transportation",5030,"4","2017","2017-09-30",0,31635.19
"Department of Transportation","Federal Transit Administration","Technical Assistance and Training, Federal Transit Administration, Transportation",5045,"4","2017","2017-09-30",5199474,978776.19
"Department of Transportation","Federal Transit Administration","Transit Infrastructure Grants, Federal Transit Administration, Transportation",5072,"4","2017","2017-09-30",NA,NA
"Department of Transportation","Federal Transit Administration","Transit Research, Federal Transit Administration, Transportation",5043,"4","2017","2017-09-30",34262289.95,11563317.49
"Department of Transportation","Federal Transit Administration","University Transportation Research, Federal Transit Administration, Transportation",5042,"4","2017","2017-09-30",0,0
"Department of Transportation","Federal Transit Administration","Urban Discretionary Grants, Federal Transit Administration, Transportation",5031,"4","2017","2017-09-30",0,0
"Department of Transportation","Federal Transit Administration","Urban Formula Grants, Federal Transit Administration, Transportation",5033,"4","2017","2017-09-30",0,0
"Department of Transportation","Federal Transit Administration","Urban Mass Transportation Fund, Federal Transit Administration, Transportation",5028,"4","2017","2017-09-30",0,0
"Department of Transportation","Federal Transit Administration","Washington Metropolitan Area Transit Authority, Federal Transit Administration, Transportation",5037,"4","2017","2017-09-30",164160636.9,1463429.01
"Department of Transportation","Maritime Administration","Assistance to Shipyards, Maritime Administration, Transportation",5066,"4","2017","2017-09-30",10005275.84,488635.5
"Department of Transportation","Maritime Administration","Gifts and Bequests, Maritime Administration, Transportation",5156,"4","2017","2017-09-30",1082142.57,3934058.93
"Department of Transportation","Maritime Administration","Maritime Guaranteed Loan, (Title XI) Program Account, Maritime Administration, Transportation",5062,"4","2017","2017-09-30",42471902.77,5000000.01
"Department of Transportation","Maritime Administration","Maritime Security Program, Maritime Administration, Transportation",5056,"4","2017","2017-09-30",292322450.51,21039207.02
"Department of Transportation","Maritime Administration","Operations and Training, Maritime Administration, Transportation",5060,"4","2017","2017-09-30",165822714.14,125326012.68
"Department of Transportation","Maritime Administration","Port of Guam Improvement Enterprise Fund, Maritime Administration, Transportation",5088,"4","2017","2017-09-30",5794.06,4723328.51
"Department of Transportation","Maritime Administration","Ready Reserve Force, Maritime Administration, Transportation",5055,"4","2017","2017-09-30",385130270.79,38945345.25
"Department of Transportation","Maritime Administration","Ship Disposal, Maritime Administration, Transportation",5064,"4","2017","2017-09-30",10080553.05,24857491.82
"Department of Transportation","Maritime Administration","Special Studies, Services and Projects, Maritime Administration, Transportation",5157,"4","2017","2017-09-30",161389.46,4198.07
"Department of Transportation","Maritime Administration","Vessel Operations Revolving Fund, Maritime Administration, Transportation",5078,"4","2017","2017-09-30",12189309.69,25695441.62
"Department of Transportation","Maritime Administration","War-Risk Insurance Revolving Fund, Maritime Administration, Transportation",5077,"4","2017","2017-09-30",0,48828560.75
"Department of Transportation","National Highway Traffic Safety Administration","Consumer Assistance to Recycle and Save Program, National Highway Traffic Safety Administration, Transportation",5003,"4","2017","2017-09-30",0,20482346.54
"Department of Transportation","National Highway Traffic Safety Administration","Highway Traffic Safety Grants, Liquidation of Contract Authorization, Trust Fund, National Highway Traffic Safety Administration, Transportation",5108,"4","2017","2017-09-30",685857966.8,143531069.4
"Department of Transportation","National Highway Traffic Safety Administration","National Driver Register, National Highway Traffic Safety Administration, Transportation",5141,"4","2017","2017-09-30",0,413814.12
"Department of Transportation","National Highway Traffic Safety Administration","Next Generation 911 Implementation Grants, National Highway Traffic Safety Administration, Transportation",5005,"4","2017","2017-09-30",766472.7,111483527.3
"Department of Transportation","National Highway Traffic Safety Administration","Operations and Research - Trust Fund, National Highway Traffic Safety Administration, Transportation",5105,"4","2017","2017-09-30",165083435.79,23691847.95
"Department of Transportation","National Highway Traffic Safety Administration","Operations and Research, National Highway Traffic Safety Administration, Transportation",5000,"4","2017","2017-09-30",184256180.22,10976821.79
"Department of Transportation","National Highway Traffic Safety Administration","State and Community Highway Safety, Liquidation of Contract Authorization, National Highway Traffic Safety Administration, Transportation",5001,"4","2017","2017-09-30",0,0
"Department of Transportation","Office of Inspector General","Salaries and Expenses - Recovery Act, Office of Inspector General, Transportation",4923,"4","2017","2017-09-30",0,0
"Department of Transportation","Office of Inspector General","Salaries and Expenses, Office of Inspector General, Transportation",4922,"4","2017","2017-09-30",91195461.99,10622797.53
"Department of Transportation","Office of the Secretary","Activities Transferred from Civil Aeronautics Board, Office of the Secretary, Transportation",4927,"4","2017","2017-09-30",0,0
"Department of Transportation","Office of the Secretary","Compensation for General Aviation Operations, Office of the Secretary, Transportation",4929,"4","2017","2017-09-30",0,0
"Department of Transportation","Office of the Secretary","Cyber Security Initiatives, Office of the Secretary, Transportation",4930,"4","2017","2017-09-30",10710043.99,12209265.68
"Department of Transportation","Office of the Secretary","Essential Air Service and Rural Airport Improvement Fund, Office of the Secretary, Transportation",5087,"4","2017","2017-09-30",135549239.18,77883086.58
"Department of Transportation","Office of the Secretary","Financial Management Capital, Office of the Secretary, Transportation",4910,"4","2017","2017-09-30",4000000,2065999.1
"Department of Transportation","Office of the Secretary","Gifts and Bequests, Office of the Secretary, Transportation",5158,"4","2017","2017-09-30",0,0
"Department of Transportation","Office of the Secretary","Minority Business Resource Center Program, Office of the Secretary, Transportation",4928,"4","2017","2017-09-30",346435.36,2976229.98
"Department of Transportation","Office of the Secretary","National Infrastructure Investments, Office of the Secretary, Transportation",4925,"4","2017","2017-09-30",535656377.73,900107526.69
"Department of Transportation","Office of the Secretary","National Surface Transportation and Innovative Finance Bureau, Transportation",4931,"4","2017","2017-09-30",886966.65,2709992.35
"Department of Transportation","Office of the Secretary","New Headquarters Building, Office of the Secretary, Transportation",4926,"4","2017","2017-09-30",61501.16,8249.27
"Department of Transportation","Office of the Secretary","Office of Civil Rights, Office of the Secretary, Transportation",4912,"4","2017","2017-09-30",9363099.97,3509800.28
"Department of Transportation","Office of the Secretary","Payment to Air Carriers, Office of the Secretary, Transportation",5137,"4","2017","2017-09-30",197411905,2546503.25
"Department of Transportation","Office of the Secretary","Rental Payments, Office of the Secretary",4911,"4","2017","2017-09-30",0,0
"Department of Transportation","Office of the Secretary","Research and Technology, Office of the Secretary, Transportation",5058,"4","2017","2017-09-30",19221228.97,15393282.67
"Department of Transportation","Office of the Secretary","Salaries and Expenses, Office of the Secretary, Transportation",4905,"4","2017","2017-09-30",119323136.72,32361578.88
"Department of Transportation","Office of the Secretary","Small and Disadvantaged Business Utilization and Outreach, Office of the Secretary, Transportation",4913,"4","2017","2017-09-30",5288558.95,6239059.61
"Department of Transportation","Office of the Secretary","Transportation Planning, Research, and Development, Office of the Secretary, Transportation",4924,"4","2017","2017-09-30",7799947.5,10769995.04
"Department of Transportation","Office of the Secretary","Transportation Research Activities Overseas, Special Foreign Currency Program, Office of the Secretary, Transportation",4907,"4","2017","2017-09-30",0,0
"Department of Transportation","Office of the Secretary","Working Capital Fund, Transportation",5081,"4","2017","2017-09-30",404778766.31,104274163.16
"Department of Transportation","Office of the Secretary","Working Capital Fund, Transportation Systems Center, Transportation",5082,"4","2017","2017-09-30",356553955.69,228032392.34
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","Emergency Preparedness Grants, Pipeline and Hazardous Materials Safety Administration, Transportation",5085,"4","2017","2017-09-30",28534320.73,90919
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","Hazardous Materials Safety, Pipeline and Hazardous Materials Safety Administration, Transportation",5052,"4","2017","2017-09-30",57075128.61,14739600.92
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","Operational Expenses, Pipeline and Hazardous Materials Safety Administration, Transportation",5051,"4","2017","2017-09-30",22445490.43,1354676.86
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","Pipeline Safety, Pipeline and Hazardous Materials Safety Administration, Transportation",5084,"4","2017","2017-09-30",143808761.09,56858949.32
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","Research and Special Programs, Pipeline and Hazardous Materials Safety Administration, Transportation",4906,"4","2017","2017-09-30",45023.72,154341.84
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration","Trust Fund Share of Pipeline Safety, Pipeline and Hazardous Materials Safety Administration, Transportation",5131,"4","2017","2017-09-30",20288000,0
"Department of Transportation","Saint Lawrence Seaway Development Corporation","Operations and Maintenance, Saint Lawrence Seaway Development Corporation, Transportation",5102,"4","2017","2017-09-30",36028000,0
"Department of Transportation","Saint Lawrence Seaway Development Corporation","Saint Lawrence Seaway Development Corporation Fund, Transportation",5074,"4","2017","2017-09-30",47078432.03,14053024
"Department of Transportation","Surface Transportation Board","Salaries and Expenses, Surface Transportation Board, Transportation",4932,"4","2017","2017-09-30",103767.07,610677.04
"Department of Veterans Affairs","Benefits Programs","Compensation and Pensions, Veterans Benefits Administration, Veterans Affairs",4649,"4","2017","2017-09-30",85615162566.51,3830484204.88
"Department of Veterans Affairs","Benefits Programs","Filipino Veterans Equity Compensation Fund, Benefits Programs, Veterans Affairs",4679,"4","2017","2017-09-30",84000,55722755
"Department of Veterans Affairs","Benefits Programs","National Service Life Insurance Fund, Veterans Affairs",4701,"4","2017","2017-09-30",809854547.81,0
"Department of Veterans Affairs","Benefits Programs","Native American Veteran Housing Loan Program Account, Veterans Benefits Administration, Veterans Affairs",4678,"4","2017","2017-09-30",2654458.09,2265984.11
"Department of Veterans Affairs","Benefits Programs","Post-Vietnam Era, Veterans Education Account, Veterans Affairs",4702,"4","2017","2017-09-30",161294.32,61854774.91
"Department of Veterans Affairs","Benefits Programs","Readjustment Benefits, Veterans Benefits Administration, Veterans Affairs",4656,"4","2017","2017-09-30",13751733677.63,6080921869.79
"Department of Veterans Affairs","Benefits Programs","Service-Disabled Veterans Insurance Fund, Veterans Affairs",4684,"4","2017","2017-09-30",157360794.4,11365636.08
"Department of Veterans Affairs","Benefits Programs","Servicemen's Group Life Insurance Fund, Veterans Affairs",4682,"4","2017","2017-09-30",769784509.75,670216.75
"Department of Veterans Affairs","Benefits Programs","United States Government Life Insurance Fund, Veterans Affairs",4703,"4","2017","2017-09-30",694484.74,0
"Department of Veterans Affairs","Benefits Programs","Veterans Housing Benefit Program Fund Liquidating Account, Veterans Affairs",4687,"4","2017","2017-09-30",1715450.43,0
"Department of Veterans Affairs","Benefits Programs","Veterans Housing Benefit Program Fund Program Account, Veterans Benefits Administration, Veterans Affairs",4677,"4","2017","2017-09-30",1166804356.68,16636191.93
"Department of Veterans Affairs","Benefits Programs","Veterans Insurance and Indemnities, Veterans Benefits Administration, Veterans Affairs",4652,"4","2017","2017-09-30",113791304.8,2778361.73
"Department of Veterans Affairs","Benefits Programs","Veterans Reopened Insurance Fund, Veterans Affairs",4683,"4","2017","2017-09-30",26975534.01,98211672.91
"Department of Veterans Affairs","Benefits Programs","Veterans Special Life Insurance Fund, Trust Revolving Fund, Veterans Affairs",4705,"4","2017","2017-09-30",201869923.49,1210197604.1
"Department of Veterans Affairs","Benefits Programs","Vocational Rehabilitation Loans Program Account, Veterans Benefits Administration, Veterans Affairs",4676,"4","2017","2017-09-30",539243.11,2814.41
"Department of Veterans Affairs","Departmental Administration","Board of Veterans Appeals, Departmental Administration, Veterans Affairs",4680,"4","2017","2017-09-30",130927650.59,20771133.36
"Department of Veterans Affairs","Departmental Administration","Construction, Major Projects, Departmental Administration, Veterans Affairs",4650,"4","2017","2017-09-30",762113295.22,1654527510.35
"Department of Veterans Affairs","Departmental Administration","Construction, Minor Projects, Departmental Administration, Veterans Affairs",4651,"4","2017","2017-09-30",607127575.92,534497988.76
"Department of Veterans Affairs","Departmental Administration","Department of Veterans Affairs Cemetery Gift Fund, Veterans Affairs",4700,"4","2017","2017-09-30",278813.62,1614704.03
"Department of Veterans Affairs","Departmental Administration","Franchise Fund, Veterans Affairs",4690,"4","2017","2017-09-30",949795631.5,115002132.5
"Department of Veterans Affairs","Departmental Administration","General Administration, Departmental Administration, Veterans Affairs",4658,"4","2017","2017-09-30",645348761.22,74562625.11
"Department of Veterans Affairs","Departmental Administration","General Operating Expenses, Veterans Benefits Administration, Veterans Affairs",4660,"4","2017","2017-09-30",3981381648.64,109906054.77
"Department of Veterans Affairs","Departmental Administration","Grants for Construction of State Extended Care Facilities, Departmental Administration, Veterans Affairs",4673,"4","2017","2017-09-30",31829990.53,91846914.84
"Department of Veterans Affairs","Departmental Administration","Grants for the Construction of State Veterans Cemeteries, Departmental Administration, Veterans Affairs",4674,"4","2017","2017-09-30",52501486,4803991.44
"Department of Veterans Affairs","Departmental Administration","Information Technology Systems, Departmental Administration, Veterans Affairs",4667,"4","2017","2017-09-30",4594993974.6,520549548.12
"Department of Veterans Affairs","Departmental Administration","National Cemetery Administration Facilities Operation Fund, Veterans Affairs",4692,"4","2017","2017-09-30",0,1057847.97
"Department of Veterans Affairs","Departmental Administration","National Cemetery Administration, Veterans Health Administration, Veterans Affairs",4654,"4","2017","2017-09-30",290730626.85,12899224
"Department of Veterans Affairs","Departmental Administration","Office of Inspector General, Departmental Administration, Veterans Affairs",4670,"4","2017","2017-09-30",159876414.05,22450376.88
"Department of Veterans Affairs","Departmental Administration","Pershing Hall Revolving Fund, Veterans Affairs",4686,"4","2017","2017-09-30",70415.02,2304359.56
"Department of Veterans Affairs","Departmental Administration","Supply Fund, Veterans Affairs",4689,"4","2017","2017-09-30",1164057262.56,495718273.76
"Department of Veterans Affairs","Departmental Administration","Veterans Electronic Health Care Record, Departmental Administration, Veterans Affairs",4681,"4","2017","2017-09-30",NA,NA
"Department of Veterans Affairs","Veterans Health Administration","Canteen Service Revolving Fund, Veterans Affairs",4685,"4","2017","2017-09-30",500488888.54,37124652.46
"Department of Veterans Affairs","Veterans Health Administration","DOD-VA Health Care Sharing Incentive Fund, Veterans Affairs",4666,"4","2017","2017-09-30",52073303.58,67424222.59
"Department of Veterans Affairs","Veterans Health Administration","Expenses, Medical Facilities, Veterans Health Administration, Veterans Affairs",4665,"4","2017","2017-09-30",5683513856.32,218277302.74
"Department of Veterans Affairs","Veterans Health Administration","Expenses, Medical Services, Veterans Health Administration, Veterans Affairs",4663,"4","2017","2017-09-30",48180840506.65,3632488173.75
"Department of Veterans Affairs","Veterans Health Administration","Expenses, Medical Support and Compliance, Veterans Health Administration, Veterans Affairs",4661,"4","2017","2017-09-30",6502952207.82,511774297.7
"Department of Veterans Affairs","Veterans Health Administration","General Post Fund, National Homes, Veterans Affairs",4704,"4","2017","2017-09-30",22641039.69,106188583.15
"Department of Veterans Affairs","Veterans Health Administration","Joint Department of Defense - Department of Veterans Affairs Medical Facility Demonstration Fund, Veterans Affairs",4669,"4","2017","2017-09-30",428305745.82,48522439.28
"Department of Veterans Affairs","Veterans Health Administration","Medical and Prosthetic Research, Veterans Health Administration, Veterans Affairs",4664,"4","2017","2017-09-30",720590604.35,121709601.54
"Department of Veterans Affairs","Veterans Health Administration","Medical Care Collections Fund, Veterans Affairs",4691,"4","2017","2017-09-30",0,0
"Department of Veterans Affairs","Veterans Health Administration","Medical Community Care, Veterans Health Administration, Veterans Affairs",4657,"4","2017","2017-09-30",8069786529.72,470374470.21
"Department of Veterans Affairs","Veterans Health Administration","Veterans Choice Fund, Veterans Health Administration, Veterans Affairs",4672,"4","2017","2017-09-30",5574250308.78,1731687257.84
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Abatement, Control and Compliance Loan Program, Environmental Protection Agency",4877,"4","2017","2017-09-30",0,0.46
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Buildings and Facilities, Environmental Protection Agency",4874,"4","2017","2017-09-30",44193256.83,16692670.19
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Damage Assessment and Restoration Revolving Fund, Environmental Protection Agency",4886,"4","2017","2017-09-30",1166320.19,2594719.64
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Energy Research and Development, Environmental Protection Agency",4873,"4","2017","2017-09-30",0,5284.29
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Environmental Programs and Management, Environmental Protection Agency",4872,"4","2017","2017-09-30",2761149354.83,302492017.42
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Exxon Valdez Settlement Fund, Environmental Protection Agency",4888,"4","2017","2017-09-30",0,1.23
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Hazardous Substance Superfund, Environmental Protection Agency",4899,"4","2017","2017-09-30",1581190597.24,3390420376.07
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Hazardous Waste Electronic Manifest System Fund, Environmental Protection Agency",4885,"4","2017","2017-09-30",5512045.25,2279195.93
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Inland Oil Spill Programs, Environmental Protection Agency",4903,"4","2017","2017-09-30",29246321.59,49065005.18
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Leaking Underground Storage Tank Trust Fund - Treasury Managed, Environmental Protection Agency",4900,"4","2017","2017-09-30",185493920.15,3642102.8
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Office of Inspector General - Recovery Act, Environmental Protection Agency",4876,"4","2017","2017-09-30",0,1526836.59
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Office of Inspector General, Environmental Protection Agency",4875,"4","2017","2017-09-30",50658132.25,7132251.44
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Payment to the Hazardous Substances Superfund, Environmental Protection Agency",4879,"4","2017","2017-09-30",1038130920,0
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Pesticide Registration Fund, Environmental Protection Agency",4889,"4","2017","2017-09-30",20572869.8,12549529.31
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Reregistration and Expedited Processing Revolving Fund, Environmental Protection Agency",4883,"4","2017","2017-09-30",18848161.71,37449702.51
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Revolving Fund for Certification and Other Services, Environmental Protection Agency",4884,"4","2017","2017-09-30",0,0.11
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Science and Technology, Environmental Protection Agency",4871,"4","2017","2017-09-30",781818668.13,96988846.52
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","State and Tribal Assistance Grants, Environmental Protection Agency",4869,"4","2017","2017-09-30",3589194847.9,228369014.65
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Water Infrastructure Finance And Innovation Program Account, Environmental Protection Agency",4882,"4","2017","2017-09-30",3597636.5,26402363.5
"Environmental Protection Agency","Environmental Protection Agency (no sub-agencies)","Working Capital Fund, Environmental Protection Agency",4887,"4","2017","2017-09-30",244401196.29,69745660.55
"General Services Administration","General Activities","Acquisition Workforce Training Fund, General Services Administration",4740,"4","2017","2017-09-30",10273126.7,14891102.16
"General Services Administration","General Activities","Allowances and Office Staff for Former Presidents, General Services Administration",4713,"4","2017","2017-09-30",3631554.94,1779556.63
"General Services Administration","General Activities","Asset Proceeds and Space Management Fund, General Services Administration",4726,"4","2017","2017-09-30",NA,NA
"General Services Administration","General Activities","Civilian Board of Contract Appeals, General Services Administration",4725,"4","2017","2017-09-30",NA,NA
"General Services Administration","General Activities","Environmental Review Improvement Fund, General Services Administration",4741,"4","2017","2017-09-30",NA,NA
"General Services Administration","General Activities","Expenses, Electronic Government (E-Gov) Fund, General Services Administration",4723,"4","2017","2017-09-30",0,0
"General Services Administration","General Activities","Expenses, Government-Wide Policy, General Services Administration",4719,"4","2017","2017-09-30",85738541.12,23749512.76
"General Services Administration","General Activities","Expenses, Presidential Transition, General Services Administration",4714,"4","2017","2017-09-30",9720403.47,6546.13
"General Services Administration","General Activities","Federal Citizen Services Fund, General Services Administration",4735,"4","2017","2017-09-30",59225455.79,20347683.22
"General Services Administration","General Activities","Office of Inspector General - Recovery Act, General Services Administration",4717,"4","2017","2017-09-30",0,9238.55
"General Services Administration","General Activities","Office of Inspector General, General Services Administration",4715,"4","2017","2017-09-30",65237410.44,19259715.81
"General Services Administration","General Activities","Operating Expenses, General Services Administration",4716,"4","2017","2017-09-30",63465489.14,16003643.94
"General Services Administration","General Activities","Pre-Election Presidential Transition, General Services Administration",4724,"4","2017","2017-09-30",4069669.67,5501493.63
"General Services Administration","General Activities","Small Escrow Amounts, General Services Administration",4744,"4","2017","2017-09-30",0,0
"General Services Administration","General Activities","Withheld State and Local Taxes, General Services Administration",4742,"4","2017","2017-09-30",0,0
"General Services Administration","General Activities","Working Capital Fund, General Services Administration",4731,"4","2017","2017-09-30",693367383.36,99714912.59
"General Services Administration","Real Property Activities","Expenses, Disposal of Surplus Real and Related Personal Property, General Services Administration",4738,"4","2017","2017-09-30",1238748.84,3287319.07
"General Services Administration","Real Property Activities","Federal Buildings Fund - Recovery Act, General Services Administration",4733,"4","2017","2017-09-30",1,2682297.29
"General Services Administration","Real Property Activities","Federal Buildings Fund, General Services Administration",4732,"4","2017","2017-09-30",11538028495.76,4741768736.64
"General Services Administration","Real Property Activities","Real Property Relocation, General Services Administration",4722,"4","2017","2017-09-30",0,11380887.14
"General Services Administration","Real Property Activities","Unconditional Gifts of Real, Personal, or Other Property, General Services Administration",4748,"4","2017","2017-09-30",0,282147.49
"General Services Administration","Supply and Technology Activities","Acquisition Services Fund, General Services Administration",4730,"4","2017","2017-09-30",13626210788.37,614690814.36
"General Services Administration","Supply and Technology Activities","Expenses of Transportation Audit Contracts and Contract Administration, General Services Administration",4737,"4","2017","2017-09-30",11386343.9,4557011.13
"General Services Administration","Supply and Technology Activities","Proceeds from Sale of Surplus Property, General Services Administration",4746,"4","2017","2017-09-30",0,0
"General Services Administration","Supply and Technology Activities","Technology Modernization Fund, General Services Administration",4727,"4","2017","2017-09-30",NA,NA
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Aeronautics, National Aeronautics and Space Administration",5636,"4","2017","2017-09-30",660130334.35,14933198.81
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Construction and Environmental Compliance and Restoration, National Aeronautics and Space Administration",5638,"4","2017","2017-09-30",443244987.19,269960091.48
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Education, National Aeronautics and Space Administration",5637,"4","2017","2017-09-30",105438357.69,12127771.67
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Endeavor Teacher Fellowship Trust Fund, National Aeronautics and Space Administration",5646,"4","2017","2017-09-30",0,42849.4
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Exploration, National Aeronautics and Space Administration",5634,"4","2017","2017-09-30",4319126213.27,88492363.13
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Gifts and Donations, National Aeronautics and Space Administration",5649,"4","2017","2017-09-30",350000,90669.34
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Human Space Flight, National Aeronautics and Space Administration",5624,"4","2017","2017-09-30",54789.06,9905026.88
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Mission Support, National Aeronautics and Space Administration",5625,"4","2017","2017-09-30",8.79,1211290.74
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","National Space Grant Program, National Aeronautics and Space Administration",5647,"4","2017","2017-09-30",0,66851.91
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Office of Inspector General, National Aeronautics and Space Administration",5622,"4","2017","2017-09-30",39962198.09,2304887.14
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Safety, Security and Mission Services, National Aeronautics and Space Administration",5632,"4","2017","2017-09-30",5143307390.68,456053835.34
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Science, Aeronautics and Technology, National Aeronautics and Space Administration",5623,"4","2017","2017-09-30",3706.74,736659.98
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Science, Aeronautics, and Exploration, National Aeronautics and Space Administration",5626,"4","2017","2017-09-30",292882.26,814398.18
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Science, National Aeronautics and Space Administration",5630,"4","2017","2017-09-30",5806351846.2,313208274.07
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Science, Space and Technology Education Trust Fund, National Aeronautics and Space Administration",5648,"4","2017","2017-09-30",1000000,425164.88
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Space Flight Capabilities, National Aeronautics and Space Administration",5627,"4","2017","2017-09-30",5002368631.32,149089391.91
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Space Technology, National Aeronautics Space Administration",5639,"4","2017","2017-09-30",720199582.76,46764664.98
"National Aeronautics and Space Administration","National Aeronautics and Space Administration (no sub-agencies)","Working Capital Fund, National Aeronautics and Space Administration",5640,"4","2017","2017-09-30",436404228.99,14160062.06
"National Science Foundation","National Science Foundation (no sub-agencies)","Agency Operations and Award Management, National Science Foundation",4753,"4","2017","2017-09-30",387295918.78,8735814.69
"National Science Foundation","National Science Foundation (no sub-agencies)","Donations, National Science Foundation",4761,"4","2017","2017-09-30",41586200.3,32621266.57
"National Science Foundation","National Science Foundation (no sub-agencies)","Education and Human Resources, National Science Foundation",4751,"4","2017","2017-09-30",878359851.15,40355397.34
"National Science Foundation","National Science Foundation (no sub-agencies)","Major Research Equipment and Facilities Construction, National Science Foundation",4757,"4","2017","2017-09-30",222779695.22,31360973.48
"National Science Foundation","National Science Foundation (no sub-agencies)","Office of Inspector General - Recovery Act, National Science Foundation",4755,"4","2017","2017-09-30",0,4168.73
"National Science Foundation","National Science Foundation (no sub-agencies)","Office of Inspector General, National Science Foundation",4754,"4","2017","2017-09-30",15196777.45,955425.95
"National Science Foundation","National Science Foundation (no sub-agencies)","Office of the National Science Board, National Science Foundation",4756,"4","2017","2017-09-30",4322000.29,555152.71
"National Science Foundation","National Science Foundation (no sub-agencies)","Research and Related Activities, National Science Foundation",4749,"4","2017","2017-09-30",6085236949.91,154984641.03
"National Science Foundation","National Science Foundation (no sub-agencies)","Salaries and Expenses, H-1B Funded, Education  and Human Resources, National Science Foundation",4759,"4","2017","2017-09-30",119487901.29,96858780.86
"Nuclear Regulatory Commission","Nuclear Regulatory Commission (no sub-agencies)","Nuclear Facilities Fees Fund, Nuclear Regulatory Commission",4624,"4","2017","2017-09-30",0,0
"Nuclear Regulatory Commission","Nuclear Regulatory Commission (no sub-agencies)","Office of the Inspector General, Nuclear Regulatory Commission",4623,"4","2017","2017-09-30",12181449.07,3169136.25
"Nuclear Regulatory Commission","Nuclear Regulatory Commission (no sub-agencies)","Salaries and Expenses, Nuclear Regulatory Commission",4622,"4","2017","2017-09-30",928345224.25,35518932.23
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Civil Service Retirement and Disability Fund, Office of Personnel Management",4580,"4","2017","2017-09-30",83887271847.43,0
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Employees' Health Benefits Fund, Office of Personnel Management",4582,"4","2017","2017-09-30",50861728740.99,23334601855.65
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Employees' Life Insurance Fund, Office of Personnel Management",4581,"4","2017","2017-09-30",3065134832.82,44683585086.36
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Flexible Benefits Plan Reserve, Office of Personnel Management",4574,"4","2017","2017-09-30",11497045.19,48511599.42
"Office of Personnel Management","Office of Personnel Management (no sub-agencies)","Government Payment for Annuitants, Employee Life Insurance     Benefits, Office of Personnel Management",4572,"4","2017","2017-09-30",42613264.87,0
