"source","target","value","type"
"SUPPORT- PROFESSIONAL: EXPERT WITNESS","Department of the Army",108365.65,"contract"
"SUPPORT- PROFESSIONAL: EXPERT WITNESS","Federal Trade Commission",23600,"contract"
"SUPPORT- PROFESSIONAL: EXPERT WITNESS","Drug Enforcement Administration",2000,"contract"
"SUPPORT- PROFESSIONAL: HUMAN RESOURCES","Department of the Navy",102538,"contract"
"SUPPORT- PROFESSIONAL: HUMAN RESOURCES","Bureau of Land Management",9269.88,"contract"
"SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS","Consumer Product Safety Commission",1034616,"contract"
"SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS","National Highway Traffic Safety Administration",837463.61,"contract"
"SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS","Department of the Navy",714259.15,"contract"
"SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS","Department of Veterans Affairs",618425.72,"contract"
"SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS","Food and Drug Administration",199614.42,"contract"
"SUPPORT- PROFESSIONAL: PATENT AND TRADEMARK","Department of the Navy",793331.76,"contract"
"SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING","National Oceanic and Atmospheric Administration",314798.16,"contract"
"SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING","Animal and Plant Health Inspection Service",61464,"contract"
"SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING","Forest Service",16537,"contract"
"SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING","National Park Service",7266.37,"contract"
"SUPPORT- PROFESSIONAL: PHYSICAL SECURITY AND BADGING","Agricultural Research Service",6806,"contract"
"SUPPORT- PROFESSIONAL: POLICY REVIEW/DEVELOPMENT","Department of Veterans Affairs",60000,"contract"
"SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","Office of the Assistant Secretary for Administration",15242039,"contract"
"SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","Federal Highway Administration",3775501,"contract"
"SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","Equal Employment Opportunity Commission",1299984.22,"contract"
"SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","Centers for Disease Control and Prevention",583693,"contract"
"SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT","Transportation Security Administration",536225.09,"contract"
"SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT","Agency for International Development",5132885.54,"contract"
"SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT","Department of Defense",4728344.19,"contract"
"SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT","Federal Highway Administration",4635000,"contract"
"SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT","Centers for Disease Control and Prevention",2079604,"contract"
"SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT","National Highway Traffic Safety Administration",1798862,"contract"
"SUPPORT- PROFESSIONAL: SIMULATION","Department of the Army",107365,"contract"
"SUPPORT- PROFESSIONAL: VETERINARY/ANIMAL CARE","Animal and Plant Health Inspection Service",4503274.35,"contract"
"SUPPORT- PROFESSIONAL: VETERINARY/ANIMAL CARE","Department of Veterans Affairs",3580114.71,"contract"
"SUPPORT- PROFESSIONAL: VETERINARY/ANIMAL CARE","Office of Assistant Secretary for Preparedness and Response",2448616,"contract"
"SUPPORT- PROFESSIONAL: VETERINARY/ANIMAL CARE","National Institutes of Health",700000,"contract"
"SUPPORT- PROFESSIONAL: VETERINARY/ANIMAL CARE","U.S. Fish and Wildlife Service",366318.5,"contract"
"SURGICAL DRESSING MATERIALS","Department of the Army",4709,"contract"
"TECHNICAL MEDICAL SUPPORT","Department of Veterans Affairs",52784,"contract"
"TECHNICAL REPRESENTATIVE- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT","Department of the Air Force",292937.17,"contract"
"TECHNICAL REPRESENTATIVE- MISCELLANEOUS","Agency for International Development",4551.15,"contract"
"TECHNICAL REPRESENTATIVE- PHOTOGRAPHIC EQUIPMENT","Department of Veterans Affairs",618000,"contract"
"TECHNICAL REPRESENTATIVE- TRAINING AIDS AND DEVICES","Department of Veterans Affairs",11610,"contract"
"TECHNOLOGY STUDIES","National Park Service",2000,"contract"
"TELECOMMUNICATION NETWORK MGMT SVCS","Uniformed Services University of the Health Sciences",312621.2,"contract"
"TELECOMMUNICATION NETWORK MGMT SVCS","U.S. Geological Survey",64483.2,"contract"
"TELECOMMUNICATION NETWORK MGMT SVCS","Department of Veterans Affairs",48000,"contract"
"TELECOMMUNICATION NETWORK MGMT SVCS","Department of Energy",44368.5,"contract"
"TELEPHONE AND TELEGRAPH EQUIPMENT","Department of the Navy",3900,"contract"
"TOPOGRAPHY SERVICES","U.S. Fish and Wildlife Service",325315,"contract"
"TRAINING AIDS","U.S. Customs and Border Protection",705440,"contract"
"TRAINING AIDS","Department of the Air Force",236847,"contract"
"TRAINING AIDS","Department of the Navy",90534,"contract"
"TRAINING AIDS","National Institutes of Health",35000,"contract"
"TRAINING AIDS","National Aeronautics and Space Administration",30000,"contract"
"TRAINING/CURRICULUM DEVELOPMENT","Social Security Administration",4327583,"contract"
"TRAINING/CURRICULUM DEVELOPMENT","Department of the Navy",1794185.75,"contract"
"TRAINING/CURRICULUM DEVELOPMENT","Department of the Air Force",1531729.19,"contract"
"TRAINING/CURRICULUM DEVELOPMENT","Indian Health Service",819607,"contract"
"TRAINING/CURRICULUM DEVELOPMENT","U.S. Immigration and Customs Enforcement",566017.52,"contract"
"TRANSPORT VESSELS-PASSENGER & TROOP","National Oceanic and Atmospheric Administration",90208,"contract"
"TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: MOTOR CHARTER","Department of Veterans Affairs",18813.72,"contract"
"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: AMBULANCE","Department of Veterans Affairs",211850.39,"contract"
"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: AMBULANCE","Federal Prison System / Bureau of Prisons",2091.74,"contract"
"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL","Department of the Army",264726.11,"contract"
"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL","Department of the Navy",76279.3,"contract"
"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL","Office of Personnel Management",49081.11,"contract"
"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL","Federal Emergency Management Agency",34710,"contract"
"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL","Forest Service",26569,"contract"
"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: MOTOR PASSENGER","Department of Veterans Affairs",167122.4,"contract"
"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: PASSENGER MARINE CHARTER","U.S. Geological Survey",524936,"contract"
"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: PASSENGER MARINE CHARTER","National Oceanic and Atmospheric Administration",55216,"contract"
"TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: PASSENGER MOTOR CHARTER","Animal and Plant Health Inspection Service",1055.03,"contract"
"TRASH/GARBAGE COLLECTION","Forest Service",17024.34,"contract"
"TRASH/GARBAGE COLLECTION","Agricultural Research Service",7057,"contract"
"UROLOGY SERVICES","Department of Veterans Affairs",2814020.52,"contract"
"UTILITIES- ELECTRIC","National Oceanic and Atmospheric Administration",120834.53,"contract"
"UTILITIES- ELECTRIC","International Boundary and Water Commission: U.S.-Mexico",3000,"contract"
"UTILITIES- OTHER","Department of Veterans Affairs",4246588.91,"contract"
"UTILITIES- OTHER","Forest Service",400000,"contract"
"UTILITIES- OTHER","Department of the Navy",63979.28,"contract"
"UTILITIES- OTHER","Department of the Air Force",13208,"contract"
"WAREHOUSING AND STORAGE SERVICES","Department of the Army",20300,"contract"
"WAREHOUSING AND STORAGE SERVICES","U.S. Army Corps of Engineers - Civil Program Financing Only",8148.42,"contract"
"WATER PURIFICATION EQUIPMENT","National Oceanic and Atmospheric Administration",103200,"contract"
"WATER QUALITY STUDIES","U.S. Army Corps of Engineers - Civil Program Financing Only",138472.54,"contract"
"WATER QUALITY STUDIES","National Park Service",75575.5,"contract"
"WEAPONS (BASIC)","Department of the Air Force",4600122.98,"contract"
"WILDLIFE STUDIES","U.S. Fish and Wildlife Service",69586.29,"contract"
"WILDLIFE STUDIES","U.S. Geological Survey",46302.89,"contract"
"WILDLIFE STUDIES","Bureau of Land Management",24875,"contract"
"21st Century Cures Act - Beau Biden Cancer Moonshot","National Institutes of Health",143120784,"grant"
"A Comprehensive Approach to Good Health and Wellness in Indian County financed solely by Prevention and Public Health ","Centers for Disease Control and Prevention",467039,"grant"
"ACA-Transforming Clinical Practice Initiative: Practice Transformation Networks (PTNs)","Centers for Medicare and Medicaid Services",33569001,"grant"
"Academic Exchange Programs - English Language Programs","Department of State",15752515,"grant"
"Academic Exchange Programs - Teachers","Department of State",870000,"grant"
"Academic Exchange Programs - Undergraduate Programs","Department of State",19185181,"grant"
"Accountable Health Communities ","Centers for Medicare and Medicaid Services",2783038,"grant"
"ACL Assistive Technology","Administration on Aging",10744492,"grant"
"ACL Assistive Technology State Grants for Protection and Advocacy","Administration on Aging",108764,"grant"
"ACL Centers for Independent Living ","Administration for Community Living",1493582,"grant"
"ACL Centers for Independent Living, Recovery Act","Health Resources and Services Administration",6401429,"grant"
"ACL Independent Living State Grants ","Administration on Aging",702951,"grant"
"ACL National Institute on Disability, Independent Living, and Rehabilitation Research","Administration on Aging",69637047,"grant"
"Acquired Immunodeficiency Syndrome (AIDS) Activity","Centers for Disease Control and Prevention",150000,"grant"
"Activities to Support State, Tribal, Local and Territorial (STLT) Health Department Response to Public Health or Healthcare Crises","Centers for Disease Control and Prevention",2844110,"grant"
"Adaptive Science","U.S. Fish and Wildlife Service",302664.69,"grant"
"Administrative Cost Grants for Indian Schools","Bureau of Indian Affairs and Bureau of Indian Education",101380,"grant"
"Adoption Opportunities","Administration for Children and Families",2554171,"grant"
"Adult Education - Basic Grants to States","Department of Education",23356238.88,"grant"
"Advanced Nursing Education Workforce Grant Program","Health Resources and Services Administration",62948069,"grant"
"Advanced Research Projects Agency - Energy","Department of Energy",67614702.4,"grant"
"Advancing System Improvements for Key Issues in Women's Health","Office of Assistant Secretary for Health",1329052,"grant"
"AEECA/ESF PD Programs","Department of State",1947230,"grant"
"Aeronautics","National Aeronautics and Space Administration",31639040.95,"grant"
"Aeronautics, Recovery Act","National Aeronautics and Space Administration",249902.29,"grant"
"Affordable Care Act (ACA) Health Profession Opportunity Grants","Administration for Children and Families",30783808,"grant"
"Affordable Care Act (ACA) Maternal, Infant, and Early Childhood Home Visiting Program","Health Resources and Services Administration",1300000,"grant"
"Affordable Care Act (ACA) Personal Responsibility Education Program","Administration for Children and Families",2648845,"grant"
"Affordable Care Act Initiative to Reduce Avoidable Hospitalizations among Nursing Facility Residents","Centers for Medicare and Medicaid Services",8876368,"grant"
"Affordable Care Act State Health Insurance Assistance Program (SHIP) and Aging and Disability Resource Center (ADRC) Options Counseling for Medicare-Medicaid Individuals in States with Approved Financial Alignment Models","Centers for Disease Control and Prevention",499959,"grant"
"African Elephant Conservation Fund","U.S. Fish and Wildlife Service",326910,"grant"
"Agricultural and Rural Economic Research, Cooperative Agreements and Collaborations","Economic Research Service",1629745.73,"grant"
"Agricultural Research Basic and Applied Research","Agricultural Research Service",137208704.86,"grant"
"Agricultural Statistics Reports","National Agricultural Statistics Service",1049710,"grant"
"Agriculture on Indian Lands","Bureau of Indian Affairs and Bureau of Indian Education",35441,"grant"
"Airport Improvement Program","Federal Aviation Administration",3510059,"grant"
"Alaska Native Educational Programs","Department of Education",171591.03,"grant"
"Alaska Native Science and Engineering","Bureau of Safety and Environmental Enforcement",100000,"grant"
"Alaska Subsistence Management","U.S. Fish and Wildlife Service",172956,"grant"
"Alfalfa and Forage Research Program","National Institute of Food and Agriculture",2648505.56,"grant"
"Alternative or Innovative Treatment Technology Research, Demonstration, Training, and Hazardous Substance Research Grants","Environmental Protection Agency",150000,"grant"
"Alzheimer's Disease Program Initiative (ADPI)","Administration on Aging",866453,"grant"
"American Battlefield Protection","National Park Service",243821.74,"grant"
"American History and Civics Education","Department of Education",1205371,"grant"
"AmeriCorps","Corporation for National and Community Service",17817327.62,"grant"
"Antimicrobial Resistance Surveillance in Retail Food Specimens","Food and Drug Administration",824697,"grant"
"Applied Meteorological Research","National Oceanic and Atmospheric Administration",6268712.51,"grant"
"Area Health Education Centers","Health Resources and Services Administration",34771515,"grant"
"Arrangements for Interdisciplinary Research Infrastructure","National Institute of Standards and Technology",18366207.44,"grant"
"Arts in Education","Department of Education",470567.68,"grant"
"Assistance for Torture Victims","Administration for Children and Families",1108605,"grant"
"Assistance Programs for Chronic Disease Prevention and Control","Centers for Disease Control and Prevention",3649875,"grant"
"Assistance to Firefighters Grant","Federal Emergency Management Agency",13551540,"grant"
"Assistance to Small and Disadvantaged Businesses","Immediate Office of the Secretary of Transportation",363297.62,"grant"
"Assistance to State Water Resources Research Institutes","U.S. Geological Survey",7757679.5,"grant"
"Assistance to Tribally Controlled Community Colleges and Universities","Bureau of Indian Affairs and Bureau of Indian Education",66102839,"grant"
"Assistive Technology Alternative Financing Program","Administration on Aging",552683,"grant"
"Basic Center Grant","Administration for Children and Families",199176,"grant"
"Beginning Farmer and Rancher Development Program","National Institute of Food and Agriculture",9358595.52,"grant"
"Biomedical Advanced Research and Development Authority (BARDA), Biodefense Medical Countermeasure Development","Office of Assistant Secretary for Preparedness and Response",55199999,"grant"
"Bipartisan Budget Act of 2018","National Oceanic and Atmospheric Administration",205794,"grant"
"Birth Defects and Developmental Disabilities - Prevention and Surveillance","Centers for Disease Control and Prevention",13013363,"grant"
"BLM Wildland Urban Interface Community Fire Assistance","Bureau of Land Management",545526.8,"grant"
"BLM Wildland Urban Interface Community Fire Assistance","Bureau of Indian Affairs and Bureau of Indian Education",97306.85,"grant"
"Block Grants for Prevention and Treatment of Substance Abuse","Health Resources and Services Administration",20269311,"grant"
"Brookwood-Sago Grant","Mine Safety and Health Administration",192172.15,"grant"
"Brownfields Assessment and Cleanup Cooperative Agreements","Environmental Protection Agency",300000,"grant"
"Brownfields Training, Research, and Technical Assistance Grants and Cooperative Agreements ","Environmental Protection Agency",900000,"grant"
"Bureau of Near Eastern Affairs","Department of State",9271099,"grant"
"Bureau of Ocean Energy Management (BOEM) Environmental Studies (ES)","Bureau of Ocean Energy Management",3782422.32,"grant"
"Bureau of Ocean Energy Management Renewable Energy ","Bureau of Ocean Energy Management",133291,"grant"
"Bureau of Western Hemisphere Affairs (WHA) Grant Programs (including Energy and Climate Partnership for the Americas)","Department of State",275995,"grant"
"Bus and Bus Facilities Formula Program","Federal Transit Administration",24838,"grant"
"Bus Testing Facility","Federal Transit Administration",4278842,"grant"
"California Water Security and Environmental Enhancement","Bureau of Reclamation",170000,"grant"
"Cancer Prevention and Control Programs for State, Territorial and Tribal Organizations","Centers for Disease Control and Prevention",6107348,"grant"
"Cancer Research Manpower","National Institutes of Health",149995594,"grant"
"Capacity Building for Non-Land Grant Colleges of Agriculture (NLGCA)","National Institute of Food and Agriculture",11278826.02,"grant"
"Capacity Building for Traditionally Underserved Populations","Department of Education",499630,"grant"
"Capitalization Grants for Clean Water State Revolving Funds","Environmental Protection Agency",51000,"grant"
"CARA Act Comprehensive Addiction and Recovery Act of 2016","Substance Abuse and Mental Health Services Administration",50000,"grant"
"Career and Technical Education - Grants to Native Americans and Alaska Natives","Department of Education",6339705,"grant"
"Career and Technical Education -- Basic Grants to States","Department of Education",43455799,"grant"
"Career and Technical Education -- National Programs","Department of Education",408108,"grant"
"CDC Undergraduate Public Health Scholars Program (CUPS): A Public Health Experience to Expose Undergraduates Interested in Minority Health to Public Health and the Public Health Professions","Centers for Disease Control and Prevention",2659771,"grant"
"Center for Sponsored Coastal Ocean Research Coastal Ocean Program","National Oceanic and Atmospheric Administration",9718502,"grant"
"Centers for Disease Control and Prevention Investigations and Technical Assistance ","Centers for Disease Control and Prevention",14627312,"grant"
"Centers of Excellence","Health Resources and Services Administration",22078435,"grant"
"Central Valley Improvement (CVI) Anadromous Fish Restoration (AFR)  ","U.S. Fish and Wildlife Service",202350,"grant"
"Central Valley Improvement Act, Title XXXIV","Bureau of Reclamation",10306359.26,"grant"
"Challenge Cost Share","Bureau of Land Management",76163.73,"grant"
"Charles B. Rangel International Affairs Program","Department of State",3469349,"grant"
"Chesapeake Bay Program","Environmental Protection Agency",2781041,"grant"
"Chesapeake Bay Studies","National Oceanic and Atmospheric Administration",868023.62,"grant"
"Child Abuse and Neglect Discretionary Activities","Administration for Children and Families",1416439,"grant"
"Child Care Access Means Parents in School","Department of Education",49875025,"grant"
"Child Care and Development Block Grant","Administration for Children and Families",1032660,"grant"
"Child Welfare Research Training or Demonstration ","Administration for Children and Families",9246769,"grant"
"Childhood Lead Poisoning Prevention Projects, State and Local Childhood Lead Poisoning Prevention and Surveillance of Blood Lead Levels in Children","Centers for Disease Control and Prevention",4142137,"grant"
"Children's Hospitals Graduate Medical Education Payment Program","Health Resources and Services Administration",8953187,"grant"
"Children's Justice Grants to States","Administration for Children and Families",184462,"grant"
"Choice Neighborhoods Implementation Grants","Assistant Secretary for Public and Indian Housing",1300000,"grant"
"Chronic Diseases:  Research, Control, and Prevention  ","Centers for Disease Control and Prevention",4525598,"grant"
"Citizenship Education and Training","Department of Homeland Security",225000,"grant"
"Civil Rights Training and Advisory Services (also known as Equity Assistance Centers)","Department of Education",3185761,"grant"
"Coal Miners Respiratory Impairment Treatment Clinics and Services","Health Resources and Services Administration",1055765,"grant"
"Coastal","U.S. Fish and Wildlife Service",396777.5,"grant"
"Coastal Zone Management Administration Awards","National Oceanic and Atmospheric Administration",3720341,"grant"
"Coastal Zone Management Estuarine Research Reserves","National Oceanic and Atmospheric Administration",5823787,"grant"
"Cochran Fellowship Program-International Training-Foreign Participant","Foreign Agricultural Service",519379.68,"grant"
"Colorado River Basin Act of 1968","Bureau of Reclamation",210912,"grant"
"Commercial Motor Vehicle Operator Safety Training Grants ","Federal Motor Carrier Safety Administration",910587,"grant"
"Community Economic Adjustment Assistance for Advance Planning and Economic Diversification","Office of Economic Adjustment",3619551,"grant"
"Community Economic Adjustment Assistance for Compatible Use and Joint Land Use Studies","Office of Economic Adjustment",718691,"grant"
"Community Economic Adjustment Assistance for Realignment or Closure of a Military Installation","Washington Headquarters Services",10736610,"grant"
"Community Economic Adjustment Assistance for Reductions in Defense Industry Employment","Office of Economic Adjustment",2466536,"grant"
"Community Facilities Loans and Grants","Rural Housing Service",4148478,"grant"
"Community Facilities Loans and Grants","Rural Utilities Service",394521,"grant"
"Community Food Projects","National Institute of Food and Agriculture",35000,"grant"
"Community Forest and Open Space Conservation Program (CFP)","Forest Service",10000,"grant"
"Community Programs to Improve Minority Health Grant Program","Office of Assistant Secretary for Health",9321056,"grant"
"Compensation and Working Conditions","Bureau of Labor Statistics",121522.67,"grant"
"Complex Humanitarian Emergency and War-Related Injury Public Health Activities","Centers for Disease Control and Prevention",175000,"grant"
"Comprehensive Centers","Department of Education",7858226,"grant"
"Conservation Activities by Youth Service Organizations","National Park Service",601915.95,"grant"
"Conservation Research and Development","Department of Energy",75665188.69,"grant"
"Consolidated Pesticide Enforcement Cooperative Agreements","Environmental Protection Agency",1274275,"grant"
"Construction Support","National Institutes of Health",7623410,"grant"
"Consultation Agreements","Occupational Safety and Health Administration",15107254.64,"grant"
"Consumer Data and Nutrition Research","Economic Research Service",1182181.5,"grant"
"Continuum of Care Program ","Assistant Secretary for Community Planning and Development",447368.58,"grant"
"Cooperating Technical Partners","Federal Emergency Management Agency",5688575,"grant"
"Cooperative Agreement to Support Navigators in Federally-facilitated and State Partnership Marketplaces","Centers for Medicare and Medicaid Services",1590718,"grant"
"Cooperative Agreements to Promote Adolescent Health through School-Based HIV/STD Prevention and School-Based Surveillance","Centers for Disease Control and Prevention",869986,"grant"
"Cooperative Agreements to Support State-Based Safe Motherhood and Infant Health Initiative Programs","Centers for Disease Control and Prevention",1436863,"grant"
"Cooperative Development Program (CDP)","Agency for International Development",250000,"grant"
"Cooperative Ecosystem Studies Units","U.S. Fish and Wildlife Service",5842151.14,"grant"
"Cooperative Fire Protection Agreement","Forest Service",524581.69,"grant"
"Cooperative Forestry Assistance","Forest Service",15687952.27,"grant"
"Cooperative Research and Training Programs Resources of the National Park System","National Park Service",36909888.87,"grant"
"Cooperative Research Units ","U.S. Geological Survey",13580529.48,"grant"
"Coordinated Services and Access to Research for Women, Infants, Children, and Youth","Health Resources and Services Administration",23483675,"grant"
"Coral Reef Conservation Program","National Oceanic and Atmospheric Administration",324963.53,"grant"
"Counter Narcotics","Department of State",518220,"grant"
"Crime Victim Assistance/Discretionary Grants","Office of Justice Programs",4159940.58,"grant"
"Criminal Justice Systems","Department of State",10499772,"grant"
"Cultural and Paleontological Resources Management","Bureau of Land Management",1867365.26,"grant"
"Cultural Resources Management","National Park Service",284765.62,"grant"
"Cultural Resources Management","Bureau of Reclamation",141805.71,"grant"
"Delta Health Care Services Grant Program","Rural Business Cooperative Service",903970,"grant"
"Department of Defense HIV/AIDS Prevention Program","Defense Health Agency",1532691,"grant"
"Desert and Southern Rockies Landscape Conservation Cooperatives","Bureau of Reclamation",96506.3,"grant"
"Development and Coordination of Rural Health Services","Health Resources and Services Administration",2500000,"grant"
"Developmental Disabilities Basic Support and Advocacy Grants","Administration on Aging",1085758,"grant"
"Developmental Disabilities Projects of National Significance","Administration on Aging",4363573,"grant"
"Dietary Supplement Research Program","National Institutes of Health",471095,"grant"
"Disabilities Prevention","Centers for Disease Control and Prevention",5382607,"grant"
"Disability Employment Policy Development","President's Committee on Employment of the Handicapped",2006453,"grant"
"Distance Education Grants for Institutions of Higher Education in Insular Areas","National Institute of Food and Agriculture",1366597.67,"grant"
"Distance Learning and Telemedicine Loans and Grants","Rural Utilities Service",11947588,"grant"
"DNA Backlog Reduction Program","Office of Justice Programs",7589386.47,"grant"
"DOD, NDEP, DOTC-STEM Education Outreach Implementation","Department of the Air Force",350000,"grant"
"Drug Court Discretionary Grant Program","Office of Justice Programs",2765321.33,"grant"
"Drug-Free Communities Support Program Grants","Substance Abuse and Mental Health Services Administration",1874839,"grant"
"Early Hearing Detection and Intervention Information System (EHDI-IS) Surveillance Program","Centers for Disease Control and Prevention",566509,"grant"
"Earthquake Consortium","Federal Emergency Management Agency",216550,"grant"
"Earthquake Hazards Program Assistance","U.S. Geological Survey",17579214.98,"grant"
"East Asia and Pacific Grants Program","Department of State",419966,"grant"
"Ebola Support:  Transmission and Prevention Control, Public Health Preparedness, Vaccine Development","Centers for Disease Control and Prevention",29138,"grant"
"Economic Adjustment Assistance","Economic Development Administration",22365814,"grant"
"Economic Adjustment Assistance for State Governments","Office of Economic Adjustment",5577245,"grant"
"Economic Development Support for Planning Organizations","Economic Development Administration",240000,"grant"
"Economic Development Technical Assistance","Economic Development Administration",8957518,"grant"
"Economic, Social, and Political Development of the Territories","Insular Affairs",2081589.83,"grant"
"Education and Outreach Initiatives","Assistant Secretary for Fair Housing and Equal Opportunity",110828.64,"grant"
"Education and Prevention Grants to Reduce Sexual Abuse of Runaway, Homeless and Street Youth","Administration for Children and Families",142405,"grant"
"Education Enhancements ","Bureau of Indian Affairs and Bureau of Indian Education",760639,"grant"
"Education Innovation and Research (formerly Investing in Innovation (i3) Fund)","Department of Education",20461889.58,"grant"
"Education Quality Award Ambassadorship","National Institute of Standards and Technology",647118.06,"grant"
"Educational and Cultural Exchange Programs Appropriation Overseas Grants","Department of State",3659,"grant"
"Edward Byrne Memorial Competitive Grant Program","Office of Justice Programs",2978546.38,"grant"
"Edward Byrne Memorial Justice Assistance Grant Program","Office of Justice Programs",1499981,"grant"
"Elder Abuse Prevention Interventions Program","Administration on Aging",2405452,"grant"
"Electricity Delivery and Energy Reliability, Research, Development and Analysis","Department of Energy",2139907.92,"grant"
"Emergency Medical Services for Children","Health Resources and Services Administration",10417401,"grant"
"Empowering Older Adults and Adults with Disabilities through Chronic Disease Self-Management Education Programs financed by Prevention and Public Health Funds (PPHF) ","Administration on Aging",987969,"grant"
"Endangered Species Conservation Recovery Implementation Funds","U.S. Fish and Wildlife Service",3504970.64,"grant"
"Endangered Species Conservation-Wolf Livestock Loss Compensation and Prevention","U.S. Fish and Wildlife Service",120000,"grant"
"Energy Efficiency and Renewable Energy Information Dissemination, Outreach, Training and Technical Analysis/Assistance","Department of Energy",17522172.47,"grant"
"English Language Acquisition State Grants","Department of Education",44148092.86,"grant"
"Enhance Safety of Children Affected by Substance Abuse","Administration for Children and Families",2513594,"grant"
"Environmental and Scientific Partnerships and Programs","Department of State",333690,"grant"
"Environmental Education Grants","Environmental Protection Agency",1163343,"grant"
"Environmental Finance Center Grants","Environmental Protection Agency",908000,"grant"
"Environmental Health","National Institutes of Health",329838926,"grant"
"Environmental Information Exchange Network Grant Program and Related Assistance","Environmental Protection Agency",1197508,"grant"
"Environmental Management R&D and Validation Testing on High Efficiency Particulate Air (HEPA) Filters ","Department of Energy",5000000,"grant"
"Environmental Quality and Protection","Bureau of Land Management",459238.41,"grant"
"Environmental Remediation and Waste Processing and Disposal","Department of Energy",15292477.63,"grant"
"Environmental Workforce Development and Job Training Cooperative Agreements","Environmental Protection Agency",198790,"grant"
"Evidence-Based Falls Prevention Programs Financed Solely by Prevention and Public Health Funds (PPHF)","Administration on Aging",1086155,"grant"
"Export Control and Related Border Security","Department of State",2872707,"grant"
"Family and Community Violence Prevention Program","Office of Assistant Secretary for Health",1659048,"grant"
"Family Planning Personnel Training","Office of Assistant Secretary for Health",892000,"grant"
"Family Planning Services","Office of Assistant Secretary for Health",2488000,"grant"
"Family to Family Health Information Centers","Health Resources and Services Administration",1923563,"grant"
"Family Violence Prevention and Services/Discretionary","Administration for Children and Families",466041,"grant"
"Farm to School Grant Program","Food and Nutrition Service",139830.87,"grant"
"Federal and State Technology Partnership Program","Small Business Administration",1645749.97,"grant"
"Federal Lands Access Program","Federal Highway Administration",1495290.02,"grant"
"Federal Oil and Gas Royalty Management State and Tribal Coordination","Departmental Offices",1377410,"grant"
"Federal Transit Capital Investment Grants","Federal Transit Administration",2853559.22,"grant"
"Federal Transit Formula Grants","Federal Transit Administration",1760987,"grant"
"Federal-State Marketing Improvement Program","Agricultural Marketing Service",87261,"grant"
"Fish and Wildlife Coordination Act","Bureau of Reclamation",1697254.04,"grant"
"Fish and Wildlife Coordination and Assistance ","U.S. Fish and Wildlife Service",222881.14,"grant"
"Fish and Wildlife Management Assistance","U.S. Fish and Wildlife Service",1106978.02,"grant"
"Fish, Wildlife and Plant Conservation Resource Management","Bureau of Land Management",2772086.73,"grant"
"Fisheries and Aquatic Resources Management","Bureau of Land Management",66129.7,"grant"
"Fisheries Development and Utilization Research and Development Grants and Cooperative Agreements Program","National Oceanic and Atmospheric Administration",5117489.53,"grant"
