"Agency","Subagency","accountID","Title","Obligation","Unobligated","federal_account_id"
"Department of Commerce","National Oceanic and Atmospheric Administration",543,"North Pacific Fishery Observer Fund, National Oceanic and Atmospheric Administration, Commerce",0,3852602.46,3721
"Department of Commerce","National Oceanic and Atmospheric Administration",542,"Sanctuaries Enforcement Asset Forfeiture Fund, National Oceanic and Atmospheric Administration, Commerce",0,418004.5,3720
"Department of Commerce","National Oceanic and Atmospheric Administration",541,"Fisheries Enforcement Asset Forfeiture Fund, National Oceanic and Atmospheric Administration, Commerce",1793433.75,17675766.05,3719
"Department of Commerce","International Trade Administration",540,"Grants to Manufacturers of Worsted Wool Fabrics, International Trade Commission, Commerce",0,1,3718
"Department of Commerce","National Oceanic and Atmospheric Administration",539,"Western Pacific Sustainable Fisheries Fund, National Oceanic and Atmospheric Administration, Commerce",0,490600,3717
"Department of Commerce","National Telecommunications and Information Administration",538,"Digital Television Transition and Public Safety Fund, National Telecommunications and Information Administration, Commerce",0,300778.23,3716
"Department of Commerce","National Oceanic and Atmospheric Administration",537,"Environmental Improvement and Restoration Fund, National Oceanic and Atmospheric Administration, Commerce",0,15050284.43,3715
"Department of Commerce","National Oceanic and Atmospheric Administration",535,"Limited Access System Administration Fund, National Oceanic and Atmospheric Administration, Commerce",2958994.82,25336959.69,3713
"Department of Commerce","National Oceanic and Atmospheric Administration",534,"Marine Mammal Unusual Mortality Event Fund, National Oceanic and Atmospheric Administration, Commerce",0,25672.08,3712
"Department of Commerce","National Oceanic and Atmospheric Administration",533,"Promote and Develop Fishery Products and Research Pertaining to American Fisheries, National Oceanic and Atmospheric Administration, Commerce",492195.88,4308981.63,3711
"Department of Commerce","National Oceanic and Atmospheric Administration",532,"Foreign Fishing Observer Fund, National Oceanic and Atmospheric Administration, Commerce",0,521842,3710
"Department of Commerce","National Oceanic and Atmospheric Administration",531,"Fishermen's Contingency Fund, National Oceanic and Atmospheric Administration, Commerce",47665.82,1270816.44,3709
"Department of Commerce","National Institute of Standards and Technology",530,"Working Capital Fund, National Institute of Standards and Technology, Commerce",93102658.45,178836564.9,3708
"Department of Commerce","Bureau of the Census",528,"Census Working Capital Fund, Bureau of the Census, Commerce",377006435.4,782597618.9,3706
"Department of Commerce","Departmental Management",527,"Working Capital Fund, Departmental Management, Commerce",94124919.01,145281088.2,3705
"Department of Commerce","National Telecommunications and Information Administration",526,"First Responder Network Authority, National Telecommunications and Information Administration, Commerce",0,119769000,3704
"Department of Commerce","National Oceanic and Atmospheric Administration",525,"Federal Ship Financing Fund, Fishing Vessels, Liquidating Account, National Oceanic and Atmospheric Administration, Commerce",0,260000,3703
"Department of Commerce","Economic Development Administration",524,"Economic Development Revolving Fund, Liquidating Account, Commerce",85117.12,214882.88,3702
"Department of Commerce","National Telecommunications and Information Administration",523,"Network Construction Fund, Telecommunications and Information Administration, Commerce",6199382277,67194878.41,3701
"Department of Commerce","Bureau of Economic Analysis",522,"Economics and Statistics Administration Revolving Fund, Economic and Statistical Analysis, Commerce",4208.89,634202.54,3700
"Department of Commerce","National Oceanic and Atmospheric Administration",521,"Damage Assessment and Restoration Revolving Fund, National Oceanic and Atmospheric Administration, Commerce",10693010.33,219824776.6,3699
"Department of Commerce","National Oceanic and Atmospheric Administration",520,"Coastal Zone Management Fund, National Oceanic Atmospheric Administration, Commerce",0,0,3698
"Department of Commerce","National Technical Information Service",519,"NTIS Revolving Fund, National Technical Information Service, Commerce",53921591.67,116078408.3,3697
"Department of Commerce","National Oceanic and Atmospheric Administration",518,"Fisheries Disaster Assistance, National Oceanic and Atmospheric Administration, Commerce",0,200077731.6,3696
"Department of Commerce","Economic Development Administration",517,"Economic Development Assistance Programs, Economic Development Administration, Commerce",67792667.05,740665695.2,3694
"Department of Commerce","Bureau of Economic Analysis",516,"Salaries and Expenses, Economic and Statistical Analysis, Commerce",52654597.21,22237947.52,3693
"Department of Commerce","National Oceanic and Atmospheric Administration",515,"NOAA Accrual Contribution to the Uniformed Services Retiree Health, Commerce",1584360,2784925,3692
"Department of Commerce","National Oceanic and Atmospheric Administration",514,"Coastal Impact Assistance, National Oceanic and Atmospheric Administration, Commerce",0,55290.97,3691
"Department of Commerce","National Oceanic and Atmospheric Administration",513,"Procurement, Acquisition and Construction, National Oceanic and Atmospheric Administration, Commerce",916880790.2,829942986.7,3690
"Department of Commerce","National Oceanic and Atmospheric Administration",512,"Fisheries Finance Program Account, National Oceanic and Atmospheric Administration, Commerce",0,2778568.22,3689
"Department of Commerce","National Oceanic and Atmospheric Administration",511,"Gulf Coast Ecosystem Restoration Science, Observation, Monitoring and Technology, National Oceanic and Atmospheric Administration, Commerce",550844.83,8246404.39,3688
"Department of Commerce","National Oceanic and Atmospheric Administration",510,"Expenses, Pacific Coastal Salmon Recovery, National Oceanic and Atmospheric, Commerce",109165.27,36392337.98,3686
"Department of Commerce","National Oceanic and Atmospheric Administration",509,"Operations, Research and Facilities, National Oceanic and Atmospheric Administration, Commerce",1281895623,1681187249,3685
"Department of Commerce","International Trade Administration",508,"Operations and Administration, International Trade Administration, Commerce",203855563.9,170065090,3683
"Department of Commerce","U.S. Patent and Trademark Office",506,"Salaries and Expenses, Patent and Trademark Office, Commerce",1702935231,2206139935,3681
"Department of Commerce","National Telecommunications and Information Administration",505,"Broadband Technology Opportunities Program - Recovery Act, National Telecommunications and Information Administration, Commerce",0,169790739.6,3679
"Department of Commerce","National Telecommunications and Information Administration",504,"Information Infrastructure Grants, National Telecommunications and Information Administration, Commerce",0,213438.42,3678
"Department of Commerce","National Telecommunications and Information Administration",503,"Public Telecommunications Facilities, Planning and Construction, National Telecommunications and Information, Commerce",122192.62,729825.11,3677
"Department of Commerce","National Telecommunications and Information Administration",502,"Salaries and Expenses, National Telecommunications and Information Administration, Commerce",34837398.46,61385654.5,3676
"Department of Commerce","National Institute of Standards and Technology",501,"Scientific and Technical Research and Services - Recovery Act, National Institute of Standards and Technology, Commerce",0,112732.89,3675
"Department of Commerce","National Institute of Standards and Technology",500,"Industrial Technology Services, National Institute of Standards and Technology, Commerce",46217515.32,49603789.92,3674
"Department of Commerce","National Telecommunications and Information Administration",499,"State and Local Implementation Fund, National Telecommunications and Information Administration, Commerce",14515885.5,30001906.35,3673
"Department of Commerce","National Institute of Standards and Technology",498,"Construction of Research Facilities, National Institute of Standards and Technology, Commerce",12411532,117911658.3,3672
"Department of Commerce","National Institute of Standards and Technology",497,"Wireless Innovation(WIN) Fund, National Institute of Standards and Technology, Commerce",11203234.17,228125535.7,3670
"Department of Commerce","National Institute of Standards and Technology",496,"Scientific and Technical Research and Services, National Institute of Standards and Technology, Commerce",279633548.9,122975488.2,3669
"Department of Commerce","Bureau of the Census",495,"Periodic Censuses and Programs, Bureau of the Census, Commerce",684344703.9,299372181.1,3667
"Department of Commerce","Bureau of the Census",494,"Current Surveys and Programs, Bureau of the Census, Commerce",140075115.7,44149744.7,3666
"Department of Commerce","Bureau of Industry and Security",493,"Operations and Administration, Bureau of Industry and Security, Commerce",52142368.25,20732884.75,3665
"Department of Commerce","Minority Business Development Agency",492,"Minority Business Development, Minority Business Development Agency, Commerce",10484534.64,15642935.25,3664
"Department of Commerce","Departmental Management",491,"Office of Inspector General, Departmental Management, Commerce",20374959.46,17071970.19,3663
"Department of Commerce","Economic Development Administration",490,"Salaries and Expenses, Economic Development Administration, Commerce",21073387.23,19062058.51,3662
"Department of Commerce","Departmental Management",488,"Renovation and Modernization, Departmental Management, Commerce",507962.26,6299301.17,3660
"Department of Commerce","Departmental Management",487,"Salaries and Expenses, Departmental Management, Commerce",77325419.17,81981130.53,3657
"Department of Commerce","Departmental Management",486,"Office of Inspector General - Recovery Act, Departmental Management, Commerce",17724.53,1323301.88,3655
"Department of Agriculture","Animal and Plant Health Inspection Service",485,"Foreign Service National Separation Liability Trust Fund, Animal and Plant Health Inspection Service, Agriculture",0,0,3654
"Department of Agriculture","Foreign Agricultural Service",484,"Foreign Service National Separation Liability Trust Fund, Foreign Agricultural Service, Agriculture",47227.53,34954.76,3653
"Department of Agriculture","Foreign Agricultural Service",482,"Miscellaneous Contributed Funds, Foreign Agricultural Service, Agriculture",0,1267975.79,3651
"Department of Agriculture","Economic Research Service",481,"Miscellaneous Contributed Funds, Economic Research Service, Agriculture",0,1080.46,3650
"Department of Agriculture","Animal and Plant Health Inspection Service",480,"Miscellaneous Contributed Funds, Animal and Plant Health Inspection Service, Agriculture",4233491.02,10767011.42,3649
"Department of Agriculture","National Agricultural Statistics Service",479,"Miscellaneous Contributed Funds, National Agricultural Statistics Service, Agriculture",0,75945.05,3648
"Department of Agriculture","Agricultural Research Service",478,"Miscellaneous Contributed Funds, Agricultural Research Service, Agriculture",9004571.22,54273508.45,3647
"Department of Agriculture","Natural Resources Conservation Service",477,"Miscellaneous Contributed Funds, Natural Resources Conservation Service, Agriculture",0,535792.58,3646
"Department of Agriculture","Office of the Secretary",476,"Gifts and Bequests, Agriculture",161897.78,5076919.86,3645
"Department of Agriculture","Farm Service Agency",475,"Tobacco Trust Fund, Commodity Credit Corporation, Agriculture",843126.88,168283731.8,3644
"Department of Agriculture","Food Safety and Inspection Service",474,"Expenses and Refunds, Inspection of Farm Products, Food Safety and Inspection Service, Agriculture",7721125.04,1194334.1,3643
"Department of Agriculture","Agricultural Marketing Service",473,"Wool Research, Development and Promotion Trust Fund, Agricultural Marketing Service, Agriculture",153000,2101500,3642
"Department of Agriculture","Forest Service",472,"Reforestation Trust Fund, Forest Service, Agriculture",9054395.61,28017847.66,3641
"Department of Agriculture","Forest Service",471,"Land Between the Lakes Trust Fund, Forest Service,  Agriculture",52063.86,5886202.15,3640
"Department of Agriculture","Forest Service",470,"Donations for Forest and Rangeland Research, Forest Service, Agriculture",0,124924.85,3639
"Department of Agriculture","Forest Service",469,"Cooperative Work, Forest Service,  Agriculture",29049866.35,353899775.1,3638
"Department of Agriculture","Agricultural Marketing Service",468,"Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",89603193.32,133316056,3637
"Department of Agriculture","Forest Service",448,"Payments to Counties, National Grasslands, Forest Service,  Agriculture",0,29000000,3617
"Department of Agriculture","Farm Service Agency",447,"Agriculture Wool Apparel Manufacturers Trust Fund, Farm Service Agency, Agriculture",0,43866741.86,3616
"Department of Agriculture","Farm Service Agency",446,"Pima Agriculture Cotton Trust Fund, Farm Service Agency, Agriculture",0,14944002.22,3615
"Department of Agriculture","Forest Service",443,"Stewardship Contracting Product Sales, Forest Service, Agriculture",3522184.27,34709001.35,3612
"Department of Agriculture","Farm Service Agency",442,"Agricultural Disaster Relief Trust Fund, Farm Service Agency, Agriculture",4907.69,15459515.87,3611
"Department of Agriculture","Forest Service",441,"Hardwood Technology Transfer and Applied Research Fund, Forest Service,  Agriculture",0,335550.52,3610
"Department of Agriculture","Office of Inspector General",440,"Inspector General Assets Forfeiture, Treasury",372653.59,4702394.21,3609
"Department of Agriculture","Office of Inspector General",439,"Inspector General Assets Forfeiture, Justice",766050.89,6332843.18,3608
"Department of Agriculture","Forest Service",438,"State and Private Forestry, Forest Service,  Agriculture",8656125.84,25847748.36,3607
"Department of Agriculture","Forest Service",436,"Administration of Rights-of-Way and Other Land Uses Fund, Forest Service,  Agriculture",3529541.01,25062950.62,3605
"Department of Agriculture","Forest Service",435,"Land Between the Lakes Management Fund, Forest Service,  Agriculture",4288418.74,5245355.19,3604
"Department of Agriculture","Agricultural Research Service",432,"Concessions Fees and Volunteer Services, Agricultural Research Service, Agriculture",9699.24,649110.54,3601
"Department of Agriculture","Forest Service",431,"Midewin National Tallgrass Prairie Restoration Fund, Forest Service,  Agriculture",0,0.6,3600
"Department of Agriculture","Forest Service",430,"MNP Rental Fee Account, Forest Service, Agriculture",323800.78,4803622.02,3599
"Department of Agriculture","Forest Service",429,"Recreation Fee Demonstration Program, Forest Service,  Agriculture",25717655.66,137475901.2,3598
"Department of Agriculture","Forest Service",428,"Timber Sales Pipeline Restoration Fund, Forest Service, Agriculture",2289039.4,18063618.89,3597
"Department of Agriculture","Forest Service",427,"Quinault Special Management Area, Forest Service, Agriculture",0,18968.32,3596
"Department of Agriculture","Forest Service",426,"Resource Management Timber Receipts, Forest Service, Agriculture",0,10161.06,3595
"Department of Agriculture","Forest Service",425,"Operation and Maintenance of Quarters, Forest Service, Agriculture",3237893.83,23697764.48,3594
"Department of Agriculture","Forest Service",424,"Acquisition of Lands to Complete Land Exchanges, Forest Service, Agriculture",1262870.95,39618901.01,3593
"Department of Agriculture","Forest Service",423,"Restoration of Forest Lands and Improvements, Forest Service, Agriculture",6152665.93,292969346.7,3592
"Department of Agriculture","Forest Service",422,"Licensee Programs, Forest Service, Agriculture",25338.21,1774094.02,3591
"Department of Agriculture","Forest Service",421,"Payment to Minnesota (Cook, Lake, and Saint Louis Counties) from the National Forests Fund, Forest Service, Agriculture",5744100,0,3590
"Department of Agriculture","Agricultural Marketing Service",420,"Funds for Strengthening Markets, Income, and Supply (Section 32), Agriculture",319844505,10109251251,3589
"Department of Agriculture","Forest Service",419,"Acquisition of Lands for National Forests, Special Acts, Forest Service, Agriculture",0,1110788.25,3588
"Department of Agriculture","Forest Service",418,"Range Betterment Fund, Forest Service, Agriculture",348179.05,1696255.45,3587
"Department of Agriculture","Forest Service",417,"Expenses, Brush Disposal, Forest Service,  Agriculture",4499989.29,36371442.37,3586
"Department of Agriculture","National Institute of Food and Agriculture",416,"Native American Institutions Endowment Fund, Agriculture",0,5864569.21,3585
"Department of Agriculture","Forest Service",415,"Timber Salvage Sales, Forest Service,  Agriculture",9823703.08,85125456.68,3584
"Department of Agriculture","Forest Service",414,"Roads and Trails for States, National Forests Fund, Forest Service, Agriculture",0,51652.68,3583
"Department of Agriculture","Forest Service",413,"Timber Roads, Purchaser Elections, Forest Service, Agriculture",0,31581577.66,3582
"Department of Agriculture","Forest Service",412,"Payments to States, National Forests Fund,  Forest Service, Agriculture",60671598.41,25638207.46,3581
"Department of Agriculture","Animal and Plant Health Inspection Service",411,"Agricultural Quarantine Inspection User Fee Account, Animal and Plant Health Inspection Service, Agriculture",101989271.2,497123985.6,3580
"Department of Agriculture","Agricultural Marketing Service",410,"Perishable Agricultural Commodities Act Fund, Agricultural Marketing Service, Agriculture",5236464.74,20154769.13,3579
"Department of Agriculture","Forest Service",409,"Land Acquisition, Forest Service, Agriculture",3845397.68,44251359.31,3578
"Department of Agriculture","Executive Operations",408,"Working Capital Fund, Agriculture",501665645.4,546600512,3577
"Department of Agriculture","Forest Service",407,"Working Capital Fund, Forest Service,  Agriculture",137338178.2,302771410.9,3576
"Department of Agriculture","Natural Resources Conservation Service",406,"Damage Assessment and Restoration Revolving Fund, Agriculture",281639.98,3110020.28,3575
"Department of Agriculture","Farm Service Agency",405,"Commodity Credit Corporation Direct Loans, Liquidating Account, Agriculture",183315.46,2406430.65,3574
"Department of Agriculture","Farm Service Agency",404,"Commodity Credit Corporation Fund, Agriculture",8736134323,28383403004,3573
"Department of Agriculture","Rural Business_Cooperative Service",403,"Rural Development Loan Fund, Liquidating Account, Rural Business-Cooperative Service, Agriculture",0,1452560.96,3572
"Department of Agriculture","Rural Utilities Service",402,"Rural Electrification and Telephone Revolving Fund, Liquidating Account, Rural Utilities Service, Agriculture",493445796.4,2165408821,3571
"Department of Agriculture","Rural Utilities Service",400,"Rural Development Insurance Fund, Liquidating Account, Rural Utilities Service, Agriculture",0,40180000,3569
"Department of Agriculture","Rural Business_Cooperative Service",399,"Alternative Agricultural Research and Commercialization Revolving Fund, Rural Business-Cooperative Service, Agriculture",0,1065703.96,3568
"Department of Agriculture","Rural Housing Service",397,"Rural Housing Insurance Fund, Liquidating Account, Rural Housing Service, Agriculture",14343252.58,236192054.7,3566
"Department of Agriculture","Farm Service Agency",396,"Agricultural Credit Insurance Fund, Liquidating Account, Consolidated Farm Service Agency, Agriculture",770705.11,34993709.17,3565
"Department of Agriculture","Risk Management Agency",395,"Federal Crop Insurance Corporation Fund, Risk Management Agency, Agriculture",6552318274,6688641399,3564
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration",394,"Inspection and Weighing Services, Grain Inspection, Packers and Stockyards Administration, Agriculture",25873906.37,65957273.99,3563
"Department of Agriculture","Office of Civil Rights",393,"Office of Civil Rights, Agriculture",13683811.66,5974510.2,3562
"Department of Agriculture","Office of the Secretary",392,"Office of the Under Secretary for Food Safety, Agriculture",199012.16,652503.35,3561
"Department of Agriculture","Food Safety and Inspection Service",391,"Food Safety and Inspection Service, Agriculture",599624602.7,602336181,3560
"Department of Agriculture","Farm Service Agency",390,"Reimbursement for Net Realized Losses, Commodity Credit Corporation",0,0,3559
"Department of Agriculture","Food and Nutrition Service",389,"Supplemental Nutrition Assistance Program - Recovery Act, Food and Nutrition Service, Agriculture",4327.55,758673425.5,3558
"Department of Agriculture","Food and Nutrition Service",388,"Child Nutrition Programs, Food Nutrition Service, Agriculture",13150745638,6483095803,3556
"Department of Agriculture","Food and Nutrition Service",387,"Special Supplemental Nutrition Program for Women, Infants and Children (WIC), Food and Nutrition Service",3855166339,1649914447,3555
"Department of Agriculture","Food and Nutrition Service",386,"Nutrition Programs Administration, Food and Nutrition Service, Agriculture",66597807,44293548.13,3553
"Department of Agriculture","Food and Nutrition Service",385,"Commodity Assistance Program, Food and Nutrition Service, Agriculture",169154228.2,159711198.3,3552
"Department of Agriculture","Food and Nutrition Service",384,"Food Stamp Program, Food and Nutrition Service, Agriculture",37247490634,42484229681,3551
"Department of Agriculture","Natural Resources Conservation Service",382,"Wildlife Habitat Incentives Program, Natural Resources Conservation Service, Agriculture",0,48493.67,3548
"Department of Agriculture","Natural Resources Conservation Service",381,"Water Bank Program, Natural Resources Conservation Service, Agriculture",33422.38,552067.94,3547
"Department of Agriculture","Farm Service Agency",380,"Conservation Reserve Program, Farm Service Agency, Agriculture",0,549.45,3546
"Department of Agriculture","Farm Service Agency",378,"Emergency Conservation Program, Farm Service Agency, Agriculture",81170519.67,583254824.9,3543
"Department of Agriculture","Farm Service Agency",376,"Dairy Indemnity Program, Farm Service Agency, Agriculture",129812.42,339833.82,3541
"Department of Agriculture","Farm Service Agency",375,"Reforestation Pilot Program, Farm Service Agency, Agriculture",0,112630,3540
"Department of Agriculture","Farm Service Agency",374,"Grassroots Source Water Protection Program, Farm Service Agency, Agriculture",1220157,0,3539
"Department of Agriculture","Farm Service Agency",373,"Emergency Boil Weevil Loan Program Account, Farm Service Agency, Agriculture",0,104860,3538
"Department of Agriculture","Rural Business_Cooperative Service",370,"Rural Economic Development Loans Program Account, Rural Business-Cooperative Service, Agriculture",0,4600522.21,3535
"Department of Agriculture","Rural Business_Cooperative Service",369,"Biorefinery Assistance Program Account, Rural Business - Cooperative Service, Agriculture",40238160,152667038,3534
"Department of Agriculture","Rural Business_Cooperative Service",368,"Rural Economic Development Grants, Rural Business-Cooperative Service, Agriculture",2582227.64,330146698.8,3533
"Department of Agriculture","Foreign Agricultural Service",367,"McGovern-Dole International Food for Education and Child Nutrition Program, Foreign Agricultural Service, Agriculture",11720552.95,134104482.8,3532
"Department of Agriculture","Foreign Agricultural Service",366,"Salaries and Expenses, Foreign Agricultural Service, Agriculture",119253522.4,266735258.8,3531
"Department of Agriculture","Risk Management Agency",365,"Administrative and Operating Expenses, Office of Risk Management, Agriculture",37096570.7,18934680.15,3530
"Department of Agriculture","Farm Service Agency",364,"USDA Disaster Assistance, Farm Service Agency, Agriculture",39.48,4507668.99,3529
"Department of Agriculture","Agricultural Marketing Service",363,"Payments to States and Possessions, Agricultural Marketing Service, Agriculture",1288153.04,94451135.34,3528
"Department of Agriculture","Agricultural Marketing Service",362,"Marketing Services, Agricultural Marketing Service, Agriculture",92011625.79,145698813.9,3527
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration",361,"Salaries and Expenses, Grain Inspection, Packers and Stockyards Administration, Agriculture",17933240.9,11351482.96,3526
"Department of Agriculture","Office of the General Counsel",360,"Office of the General Counsel, Agriculture",22294549.35,38653495.56,3525
"Department of Agriculture","Foreign Agricultural Service",357,"Public Law 480 Title I Direct Credit and Food for Progress Program Account, Foreign Agricultural Service, Agriculture",40769196,1749003.02,3522
"Department of Agriculture","Foreign Agricultural Service",356,"Public Law 480, Liquidating Account, Foreign Agriculture Service, Agriculture",622200.35,226377799.7,3521
"Department of Agriculture","Rural Housing Service",353,"Rural Housing Insurance Fund Program Account, Rural Housing Service, Agriculture",248285522.1,143231363.2,3517
"Department of Agriculture","Rural Business_Cooperative Service",352,"Energy Assistance Payments, Rural Business - Cooperative Service, Agriculture",8874821.96,20574226.35,3516
"Department of Agriculture","Rural Business_Cooperative Service",351,"Intermediary Relending Program Fund Account, Rural Business-Cooperative Service, Agriculture",2566141.09,15490246.34,3515
"Department of Agriculture","Rural Utilities Service",349,"High Energy Cost Grants, Rural Utilities Service, Agriculture",0,13674545.03,3513
"Department of Agriculture","Rural Housing Service",348,"Mutual and Self-Help Housing Grants, Rural Housing Service, Agriculture",1588550,21674127.64,3512
"Department of Agriculture","Rural Business_Cooperative Service",345,"Rural Microenterprise Investment Program Account, Rural Business-Cooperative Service, Agriculture",49900,3751293.01,3508
"Department of Agriculture","Rural Housing Service",343,"Expenses, Rural Housing Assistance Grants, Rural Housing Service",12486569.34,9465083.53,3506
"Department of Agriculture","Rural Housing Service",342,"Community Facility Loans Program Account, Rural Housing and Community Development Service",6871949.17,28278107.56,3505
"Department of Agriculture","Rural Business_Cooperative Service",341,"Renewable Energy Program, Rural Business-Cooperative Service, Agriculture",6040912.33,61258482.17,3503
"Department of Agriculture","Rural Business_Cooperative Service",340,"Rural Business Investment Program Account, Rural Business - Cooperative Service, Agriculture",0,2092473,3502
"Department of Agriculture","Rural Business_Cooperative Service",339,"Rural Business and Industry Loans Program Account, Rural Business and Cooperative Development Service",23697049.2,39097976.19,3501
"Department of Agriculture","Rural Business_Cooperative Service",338,"Rural Cooperative Development Grants, Rural Business-Cooperative Service, Agriculture",0,41955712.31,3500
"Department of Agriculture","National Agricultural Statistics Service",337,"National Agricultural Statistics Service, Agriculture",95910552.01,14168539.07,3498
"Department of Agriculture","Economic Research Service",336,"Economic Research Service, Agriculture",37059909.57,8536370.41,3497
"Department of Agriculture","Animal and Plant Health Inspection Service",335,"Buildings and Facilities, Animal and Plant Health Inspection Service, Agriculture",1727503.1,49195979.72,3496
"Department of Agriculture","Animal and Plant Health Inspection Service",334,"Salaries and Expenses, Animal and Plant Health Inspection Service",503515315.3,842711661,3495
"Department of Agriculture","National Institute of Food and Agriculture",333,"Integrated Activities, National Institute of Food and Agriculture, Agriculture",18618297,123532291.8,3494
"Department of Agriculture","National Institute of Food and Agriculture",332,"Buildings and Facilities, National Institute of Food and Agriculture, Agriculture",0,1707805.36,3493
"Department of Agriculture","National Institute of Food and Agriculture",331,"Research and Education Activities, National Institute of Food and Agriculture, Agriculture",273108210.5,647745820.2,3492
"Department of Agriculture","Agricultural Research Service",327,"Buildings and Facilities, Agricultural Research Service, Agriculture",3635232.06,219360461.9,3487
"Department of Agriculture","Agricultural Research Service",326,"Salaries and Expenses, Agricultural Research Service, Agricullture",483989588.1,398058815.6,3486
"Department of Agriculture","Farm Service Agency",325,"Commodity Credit Corporation Export Loans Program Account, Foreign Agricultural Service, Agriculture",7512410.47,8540787.49,3485
"Department of Agriculture","Rural Utilities Service",324,"Distance Learning, Telemedicine and Broadband Program, Rural Utilities Service, Agriculture",20931292,97661717.06,3483
"Department of Agriculture","Rural Utilities Service",323,"Rural Telephone Bank Program Account, Rural Utilities Service, Agriculture",0,3553656.27,3482
"Department of Agriculture","Rural Utilities Service",322,"Rural Electrification and Telecommunications Loans Program Account, Rural Utilities Service, Agriculture",15848865.01,39402984.78,3481
"Department of Agriculture","Farm Service Agency",321,"Discrimination Claims Settlement, Farm Service Agency, Agriculture",0,27789687.92,3480
"Department of Agriculture","Farm Service Agency",319,"Agricultural Credit Insurance Fund Program Account,  Farm Service Agency, Agriculture",183494159.9,94265896.35,3477
"Department of Agriculture","Forest Service",318,"Flame Wildfire Suppression Reserve Fund, Forest Service, Agriculture",0,0,3476
"Department of Agriculture","Forest Service",317,"Management of National Forest Lands for Subsistence Uses, Forest Service, Agriculture",758176.44,759589.09,3475
"Department of Agriculture","Forest Service",316,"Payments to States, Northern Spotted Owl Guarantee, Forest Service, Agriculture",0,4395861.98,3473
"Department of Agriculture","Forest Service",315,"Wildland Fire Management, Forest Service, Agriculture",1245728089,1001578859,3472
"Department of Agriculture","Forest Service",314,"National Forest System, Forest Service, Agriculture",761178012.3,247353820.6,3471
"Department of Agriculture","Forest Service",313,"State and Private Forestry, Forest Service, Agriculture",68288287.38,181851165.1,3470
"Department of Agriculture","Forest Service",312,"Forest and Rangeland Research, Forest Service, Agriculture",137261065.5,55433838.85,3469
"Department of Agriculture","Forest Service",311,"Capital Improvement and Maintenance, Forest Service, Agriculture",155765322.4,221993925.4,3468
"Department of Agriculture","Natural Resources Conservation Service",310,"Healthy Forests Reserve Program, Natural Resources Conservation Service, Agriculture",0,93,3466
"Department of Agriculture","Natural Resources Conservation Service",308,"Watershed and Flood Prevention Operations, Natural Resources Conservation Service, Agriculture",56146638.32,992521168.1,3463
"Department of Agriculture","Natural Resources Conservation Service",305,"Farm Security and Rural Investment Programs, Natural Resources Conservation Service, Agriculture",1430573129,6529370754,3460
"Department of Agriculture","National Institute of Food and Agriculture",304,"Biomass Research and Development, National Institute of Food and Agriculture, Agriculture",0,8741477.7,3459
"Department of Agriculture","Natural Resources Conservation Service",303,"Watershed Rehabilitation Program, Natural Resources Conservation Service, Agriculture",3624272.18,122123685.9,3458
"Department of Agriculture","Natural Resources Conservation Service",302,"Conservation Operations, Natural Resources Conservation Service, Agriculture",332398609.4,319190861.5,3457
"Department of Agriculture","Office of Inspector General",301,"Office of the Inspector General, Agriculture",48341534.67,18791657.43,3456
"Department of Agriculture","Office of Inspector General",300,"Office of Inspector General - Recovery Act, Agriculture",0,0,3455
"Department of Agriculture","Executive Operations",299,"Office of Hearings and Appeals Division, Executive Operations, Agriculture",6671379.91,1705226.04,3454
"Department of Agriculture","Office of the Secretary",298,"Outreach for Socially Disadvantaged Farmers, National Institute of Food and Agriculture, Agriculture",415006.87,1019620.6,3453
"Department of Agriculture","Farm Service Agency",297,"Salaries and Expenses, Farm Service Agency, Agriculture",685460782.7,297561180.1,3452
"Department of Agriculture","Executive Operations",296,"Office of Budget and Program Analysis, Executive Operations, Agriculture",4517131.47,4347457.59,3450
"Department of Agriculture","National Institute of Food and Agriculture",295,"Extension Activities, National Institute of Food and Agriculture, Agriculture",85473090.79,260531300.3,3449
"Department of Agriculture","Hazardous Materials Management",294,"Hazardous Materials Management, Agriculture",1811635.44,1134193.35,3448
"Department of Agriculture","Rural Development",292,"Salaries and Expenses, Rural Development, Agriculture",307462676.9,107695417.3,3446
"Department of Agriculture","Agricultural Marketing Service",289,"Payment to Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture",2250000,0,3443
"Department of Agriculture","Farm Service Agency",288,"Emergency Forest Restoration Program, Farm Service Agency, Agriculture",2241293.09,58867962.19,3439
"Department of Agriculture","Farm Service Agency",287,"State Mediation Grants, Farm Service Agency, Agriculture",1825642.71,727407.82,3438
"Department of Agriculture","Office of the Secretary",286,"Office of Communications, Agriculture",0,198589.96,3437
"Department of Agriculture","Rural Housing Service",285,"Rental Assistance Program, Rural Housing Service, Agriculture",497724102,384907311.2,3436
"Department of Agriculture","Office of the General Counsel",284,"Office of Ethics, Agriculture",1755092.34,1942941.78,3435
"Department of Agriculture","Office of the Secretary",282,"Office of Advocacy and Outreach, Executive Operations, Agriculture",0,144235.36,3433
"Department of Agriculture","Office of the Secretary",281,"Office of Tribal Relations, Agriculture",0,2078.74,3432
