"Recipient","agency","subagency","product_or_service_code","product_or_service_description","obligation","parent","parent_name","icon"
"Texas A & M University-College Station","Department of Defense","Defense Threat Reduction Agency","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",593919.86,"AD","DEFENSE (OTHER) R&D","137-fighter-plane.svg"
"Texas A & M University-College Station","Department of Defense","Defense Threat Reduction Agency","AN92","R&D- MEDICAL: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",812737,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"Texas A & M University-College Station","Department of Defense","Department of Defense","B529","SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA",57600,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Texas A & M University-College Station","Department of Defense","Department of the Air Force","B529","SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA",170400,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Texas A & M University-College Station","Department of Defense","Department of the Air Force","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",5250,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas A & M University-College Station","Department of Defense","Department of the Army","7830","RECREATIONAL & GYMNASTIC EQ",4400,"78","RECREATIONAL & ATHLETIC EQUIPMENT","140-three-bowling-pins-and-ball.svg"
"Texas A & M University-College Station","Department of Defense","Department of the Army","B521","SPECIAL STUDIES/ANALYSIS- HISTORICAL",55000,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Texas A & M University-College Station","Department of Defense","Department of the Army","R799","OTHER MANAGEMENT SUPPORT SERVICES",78197.1,"R7","MANAGEMENT SUPPORT SERVICES","214-manager.svg"
"Texas A & M University-College Station","Department of Defense","Department of the Army","U006","EDUCATION/TRAINING- VOCATIONAL/TECHNICAL",39900,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas A & M University-College Station","Department of Defense","Department of the Army","U008","TRAINING/CURRICULUM DEVELOPMENT",20400,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas A & M University-College Station","Department of Defense","Department of the Army","X1AB","LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES",5970.25,"X1","LEASE & RENTAL OF BUILDINGS","013-buildings-group.svg"
"Texas A & M University-College Station","Department of Defense","Department of the Army","X1JZ","LEASE/RENTAL OF MISCELLANEOUS BUILDINGS",8711,"X1","LEASE & RENTAL OF BUILDINGS","013-buildings-group.svg"
"Texas A & M University-College Station","Department of Defense","Department of the Navy","6505","DRUGS AND BIOLOGICALS",159936,"65","MEDICAL, DENTAL, VETERINARY EQUIPMENT","127-stethoscope.svg"
"Texas A & M University-College Station","Department of Defense","Department of the Navy","B529","SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA",51200,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Texas A & M University-College Station","Department of Defense","Department of the Navy","R425","ENGINEERING AND TECHNICAL SERVICES",99357,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Texas A & M University-College Station","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",1646824.48,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas A & M University-College Station","Department of Defense","Missile Defense Agency","AC23","R&D- DEFENSE SYSTEM: MISSILE/SPACE SYSTEMS (ADVANCED DEVELOPMENT)",193299,"AC","DEFENSE SYSTEMS R&D","136-submarine.svg"
"Texas A & M University-College Station","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only","3805","EARTH MOVING AND EXCAVATING EQUIPMENT",699900,"38","CONSTRUCTION, MINING, EXCAVATATION, & HIGHWAY EQUIPMENT","156-construction-machine-side-view-with-crane.svg"
"Texas A & M University-College Station","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only","AZ11","R&D-OTHER R & D-B RES",67953,"AZ","OTHER R&D","176-microscope.svg"
"Texas A & M University-College Station","Department of Health and Human Services","Centers for Disease Control and Prevention","AA12","R&D- AGRICULTURE: INSECT AND DISEASE CONTROL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",1200923,"AA","AGRICULTURE R&D","160-corn.svg"
"Texas A & M University-College Station","Department of Health and Human Services","Food and Drug Administration","H199","QUALITY CONT SV/MISC EQ",275971.35,"H1","QUALITY CONTROL SERVICES","064-id-card.svg"
"Texas A & M University-College Station","Department of Health and Human Services","Indian Health Service","U010","EDUCATION/TRAINING- CERTIFICATIONS/ACCREDITATIONS FOR EDUCATIONAL INSTITUTIONS",14060,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas A & M University-College Station","Department of Health and Human Services","National Institutes of Health","6505","DRUGS AND BIOLOGICALS",14850,"65","MEDICAL, DENTAL, VETERINARY EQUIPMENT","127-stethoscope.svg"
"Texas A & M University-College Station","Department of Health and Human Services","National Institutes of Health","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",8914.36,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas A & M University-College Station","Department of Homeland Security","Federal Emergency Management Agency","U008","TRAINING/CURRICULUM DEVELOPMENT",248754.68,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas A & M University-College Station","Department of Homeland Security","Federal Emergency Management Agency","U014","EDUCATION/TRAINING- SECURITY",15409,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas A & M University-College Station","Department of Homeland Security","Office of the Under Secretary for Management","AF11","R&D- EDUCATION: EDUCATIONAL (BASIC RESEARCH)",227597,"AF","EDUCATION R & D","183-university-1.svg"
"Texas A & M University-College Station","Department of Homeland Security","Office of the Under Secretary for Science and Technology","AZ11","R&D-OTHER R & D-B RES",126942,"AZ","OTHER R&D","176-microscope.svg"
"Texas A & M University-College Station","Department of Homeland Security","U.S. Coast Guard","U099","OTHER ED & TRNG SVCS",121500,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas A & M University-College Station","Department of Justice","Federal Prison System / Bureau of Prisons","U006","EDUCATION/TRAINING- VOCATIONAL/TECHNICAL",67550,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas A & M University-College Station","Department of Justice","Federal Prison System / Bureau of Prisons","U008","TRAINING/CURRICULUM DEVELOPMENT",23963,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas A & M University-College Station","Department of Justice","Federal Prison System / Bureau of Prisons","U009","EDUCATION/TRAINING- GENERAL",120590,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas A & M University-College Station","Department of the Interior","U.S. Fish and Wildlife Service","B504","STUDY/CHEMICAL-BIOLOGICAL",323804.91,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Texas A & M University-College Station","Department of the Interior","U.S. Fish and Wildlife Service","B599","OTHER SPECIAL STUDIES AND ANALYSES",59290,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Texas A & M University-College Station","Department of the Interior","U.S. Geological Survey","B529","SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA",42630,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Texas A & M University-College Station","Department of Transportation","Federal Highway Administration","AT11","R&D-TRANS-ROADS-BRIDGES-B RES",348436.56,"AT","TRANSPORTATION (OTHER) R&D","221-boat-from-front-view.svg"
"Texas A & M University-College Station","Department of Transportation","Federal Highway Administration","AZ14","R&D-OTHER R & D-ENG DEV",999366.08,"AZ","OTHER R&D","176-microscope.svg"
"Texas A & M University-College Station","Department of Transportation","Federal Highway Administration","B529","SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA",1425716,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Texas A & M University-College Station","Department of Transportation","Federal Highway Administration","R410","SUPPORT- PROFESSIONAL: PROGRAM EVALUATION/REVIEW/DEVELOPMENT",494310,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Texas A & M University-College Station","Department of Transportation","Federal Highway Administration","R425","ENGINEERING AND TECHNICAL SERVICES",384560,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Texas A & M University-College Station","Department of Transportation","Federal Highway Administration","U008","TRAINING/CURRICULUM DEVELOPMENT",913544,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas A & M University-College Station","Department of Veterans Affairs","Department of Veterans Affairs","U099","OTHER ED & TRNG SVCS",4630,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas A & M University-College Station","Environmental Protection Agency","Environmental Protection Agency","AJ16","R&D- GENERAL SCIENCE/TECHNOLOGY: PHYSICAL SCIENCES (MANAGEMENT/SUPPORT)",15400,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"Texas A & M University-College Station","National Aeronautics and Space Administration","National Aeronautics and Space Administration","AA24","AGRICULTURE MARKETING (ENGINEERING)",6400,"AA","AGRICULTURE R&D","160-corn.svg"
"Texas A & M University-College Station","National Aeronautics and Space Administration","National Aeronautics and Space Administration","AB91","R&D- COMMUNITY SERVICE/DEVELOPMENT: OTHER (BASIC RESEARCH)",13000,"AB","COMMUNITY SERVICE R&D","083-teacher.svg"
"Texas A & M University-College Station","National Aeronautics and Space Administration","National Aeronautics and Space Administration","AJ52","R&D- GENERAL SCIENCE/TECHNOLOGY: LIFE SCIENCES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",6400,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"Texas A & M University-College Station","National Aeronautics and Space Administration","National Aeronautics and Space Administration","AR13","R&D-AERO & SPACE TECH-ADV DEV",61337.02,"AR","SPACE R&D","187-satellite.svg"
"Texas A & M University-College Station","National Aeronautics and Space Administration","National Aeronautics and Space Administration","W099","LEASE-RENT OF MISC EQ",59200,"W0","LEASE & RENTAL EQUIPMENT","198-real-estate.svg"
"Texas A & M University-College Station","National Archives and Records Administration","National Archives and Records Administration","S206","HOUSEKEEPING- GUARD",1044249.42,"S2","HOUSEKEEPING SERVICES","062-maid-1.svg"
"Texas A & M University-College Station","National Archives and Records Administration","National Archives and Records Administration","S216","HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT",1724663.87,"S2","HOUSEKEEPING SERVICES","062-maid-1.svg"
"Texas A & M University-Corpus Christi","Department of Homeland Security","U.S. Coast Guard","U009","EDUCATION/TRAINING- GENERAL",9301.05,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas A & M University-Corpus Christi","National Aeronautics and Space Administration","National Aeronautics and Space Administration","AJ44","ENGINEERING (ENGINEERING)",258947,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"Texas A & M University-Corpus Christi","National Aeronautics and Space Administration","National Aeronautics and Space Administration","AR14","R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT)",814505,"AR","SPACE R&D","187-satellite.svg"
"Texas Christian University","National Aeronautics and Space Administration","National Aeronautics and Space Administration","U099","OTHER ED & TRNG SVCS",16200,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas Southern University","Department of Homeland Security","U.S. Coast Guard","U009","EDUCATION/TRAINING- GENERAL",5488.7,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas State University","Department of Defense","Department of the Army","U008","TRAINING/CURRICULUM DEVELOPMENT",50000,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas State University","Department of Defense","Department of the Army","U014","EDUCATION/TRAINING- SECURITY",29280,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas State University","Department of Homeland Security","Federal Emergency Management Agency","V231","TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: LODGING, HOTEL/MOTEL",10254,"V2","TRAVEL, LODGING, & RECRUITMENT SERVICES","087-bed.svg"
"Texas Tech University","Department of Agriculture","Agricultural Research Service","AJ11","PHYSICAL SCIENCES (BASIC)",17080,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"Texas Tech University","Department of Agriculture","Agricultural Research Service","AJ51","LIFE SCIENCES (BASIC)",9600,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"Texas Tech University","Department of Agriculture","Agricultural Research Service","Q301","MEDICAL- LABORATORY TESTING",6800,"Q3","LABORATORY TESTING SERVICES","192-chemistry.svg"
"Texas Tech University","Department of Defense","Department of the Army","AH91","R&D- ENVIRONMENTAL PROTECTION: OTHER (BASIC RESEARCH)",469974,"AH","ENVIRONMENTAL PROTECTION R&D","034-hand-holding-a-stalk.svg"
"Texas Tech University","Department of Defense","Department of the Army","B521","SPECIAL STUDIES/ANALYSIS- HISTORICAL",55000,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Texas Tech University","Department of Defense","Department of the Army","B599","OTHER SPECIAL STUDIES AND ANALYSES",198546,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"Texas Tech University","Department of Health and Human Services","National Institutes of Health","R499","OTHER PROFESSIONAL SERVICES",52000,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"Texas Tech University","Department of the Interior","National Park Service","8310","YARN AND THREAD",27500,"83","TEXTILES & FLAGS","175-goal.svg"
"Texas Tech University","Department of Veterans Affairs","Department of Veterans Affairs","Q999","OTHER MEDICAL SERVICES",20632.22,"Q9","OTHER MEDICAL SERVICES","003-icu-monitor.svg"
"Texas Tech University Health Sciences Center","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",203152.01,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"Texas Tech University Health Sciences Center","Department of Homeland Security","U.S. Customs and Border Protection","Q999","OTHER MEDICAL SERVICES",80406.6,"Q9","OTHER MEDICAL SERVICES","003-icu-monitor.svg"
"Texas Tech University Health Sciences Center","Department of Justice","Federal Prison System / Bureau of Prisons","G004","SOCIAL- SOCIAL REHABILITATION",168684.22,"G0","SOCIAL SERVICES","074-meeting-2.svg"
"Texas Tech University Health Sciences Center","Department of Veterans Affairs","Department of Veterans Affairs","Q511","MEDICAL- OPHTHALMOLOGY",677759.1,"Q5","MEDICAL, DENTAL, & SURGICAL SERVICES","001-transfusion.svg"
"Texas Tech University Health Sciences Center","Department of Veterans Affairs","Department of Veterans Affairs","Q517","MEDICAL- PHARMACOLOGY",747492,"Q5","MEDICAL, DENTAL, & SURGICAL SERVICES","001-transfusion.svg"
"The College of New Jersey","Department of Commerce","National Oceanic and Atmospheric Administration","B516","SPECIAL STUDIES/ANALYSIS- ANIMAL/FISHERIES",132837.6,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"The College of New Jersey","Department of Justice","Drug Enforcement Administration","U099","OTHER ED & TRNG SVCS",100,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The College of Saint Scholastica","Department of Defense","Department of the Army","X1AB","LEASE/RENTAL OF CONFERENCE SPACE AND FACILITIES",55556.25,"X1","LEASE & RENTAL OF BUILDINGS","013-buildings-group.svg"
"The Commonwealth Medical College","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",142986.93,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The Community College of Baltimore County","Department of Homeland Security","U.S. Coast Guard","U006","EDUCATION/TRAINING- VOCATIONAL/TECHNICAL",17334.74,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Alabama","Department of Agriculture","Natural Resources Conservation Service","D317","AUTO NEWS, DATA & OTHER SVCS",3600,"D3","IT & TELECOMMUNICATIONS","171-desktop-computer.svg"
"The University of Alabama","Department of Commerce","National Oceanic and Atmospheric Administration","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",214088,"D3","IT & TELECOMMUNICATIONS","171-desktop-computer.svg"
"The University of Alabama","Department of Commerce","National Oceanic and Atmospheric Administration","S112","UTILITIES- ELECTRIC",98183,"S1","UTILITIES","energy-globe.svg"
"The University of Alabama","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",32119,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Alabama","Department of Health and Human Services","Centers for Disease Control and Prevention","AZ14","R&D-OTHER R & D-ENG DEV",57500,"AZ","OTHER R&D","176-microscope.svg"
"The University of Alabama","National Aeronautics and Space Administration","National Aeronautics and Space Administration","3650","CHEMICAL AND PHARMACEUTICAL PRODUCTS MANUFACTURING MACHINERY",19668,"36","SPECIAL INDUSTRY MACHINERY","176-microscope.svg"
"The University of Alabama","Peace Corps","Peace Corps","U009","EDUCATION/TRAINING- GENERAL",20922,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Findlay","National Aeronautics and Space Administration","National Aeronautics and Space Administration","U099","OTHER ED & TRNG SVCS",5435,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Montana","Department of Agriculture","Forest Service","B509","SPECIAL STUDIES/ANALYSIS- ENDANGERED SPECIES: PLANT/ANIMAL",45000,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"The University of Montana","Department of Agriculture","Forest Service","D399","OTHER ADP & TELECOMMUNICATIONS SVCS",4410,"D3","IT & TELECOMMUNICATIONS","171-desktop-computer.svg"
"The University of Montana","Department of Agriculture","Forest Service","U008","TRAINING/CURRICULUM DEVELOPMENT",44601.58,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Montana","Department of Agriculture","Forest Service","U099","OTHER ED & TRNG SVCS",60964.76,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Montana","Department of Agriculture","Forest Service","W099","LEASE-RENT OF MISC EQ",91311,"W0","LEASE & RENTAL EQUIPMENT","198-real-estate.svg"
"The University of Montana","Department of Agriculture","Natural Resources Conservation Service","F999","OTHER ENVIRONMENTAL SERVICES",25000,"F9","NATURAL RESOURCES - OTHER SERVICES","034-hand-holding-a-stalk.svg"
"The University of Montana","Department of Health and Human Services","National Institutes of Health","AN11","R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)",2796602,"AN","MEDICAL R&D","165-medical-stethoscope-variant.svg"
"The University of Montana","Department of the Interior","U.S. Fish and Wildlife Service","R405","SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS",3268.7,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"The University of Montana","Department of the Interior","U.S. Geological Survey","B532","SOIL STUDIES",6035.7,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"The University of Montana","Peace Corps","Peace Corps","U009","EDUCATION/TRAINING- GENERAL",14475.68,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Tennessee-Health Science Center","Department of Veterans Affairs","Department of Veterans Affairs","6640","LABORATORY EQUIPMENT AND SUPPLIES",11108,"66","INSTRUMENTS & LABORATORY EQUIPMENT","192-chemistry.svg"
"The University of Tennessee-Health Science Center","Department of Veterans Affairs","Department of Veterans Affairs","U099","OTHER ED & TRNG SVCS",96991.99,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Tennessee-Knoxville","Department of Agriculture","Farm Service Agency","B510","SPECIAL STUDIES/ANALYSIS- ENVIRONMENTAL ASSESSMENTS",135000,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"The University of Tennessee-Knoxville","Department of Agriculture","Forest Service","F099","OTHER NAT RES MGMT & CONSERV",10000,"F0","NATURAL RESOURCE CONSERVERVAT ION SERVICES","034-hand-holding-a-stalk.svg"
"The University of Tennessee-Knoxville","Department of Agriculture","Forest Service","R499","OTHER PROFESSIONAL SERVICES",82999.92,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"The University of Tennessee-Knoxville","Department of Commerce","National Institute of Standards and Technology","D318","IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",20248,"D3","IT & TELECOMMUNICATIONS","171-desktop-computer.svg"
"The University of Tennessee-Knoxville","Department of Defense","Defense Logistics Agency","B541","SPECIAL STUDIES/ANALYSIS- DEFENSE",272000,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"The University of Tennessee-Knoxville","Department of Defense","Defense Logistics Agency","U009","EDUCATION/TRAINING- GENERAL",13000,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Tennessee-Knoxville","Department of Defense","Defense Threat Reduction Agency","AD93","R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT)",311651.62,"AD","DEFENSE (OTHER) R&D","137-fighter-plane.svg"
"The University of Tennessee-Knoxville","Department of Defense","Department of the Air Force","AC12","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",69000,"AC","DEFENSE SYSTEMS R&D","136-submarine.svg"
"The University of Tennessee-Knoxville","Department of Defense","Department of the Air Force","AD95","OTHER DEFENSE (OPERATIONAL)",545000,"AD","DEFENSE (OTHER) R&D","137-fighter-plane.svg"
"The University of Tennessee-Knoxville","Department of Defense","Department of the Air Force","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",187800,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Tennessee-Knoxville","Department of Defense","Department of the Air Force","U008","TRAINING/CURRICULUM DEVELOPMENT",89500,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Tennessee-Knoxville","Department of Defense","Department of the Air Force","U009","EDUCATION/TRAINING- GENERAL",430622.01,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Tennessee-Knoxville","Department of Defense","Department of the Army","B599","OTHER SPECIAL STUDIES AND ANALYSES",178805.14,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"The University of Tennessee-Knoxville","Department of Defense","Department of the Navy","AJ12","R&D-PHYSICAL SCIENCE-A RES/EXPL DEV",167349,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"The University of Tennessee-Knoxville","Department of Defense","Department of the Navy","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",363118,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Tennessee-Knoxville","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only","AH91","R&D- ENVIRONMENTAL PROTECTION: OTHER (BASIC RESEARCH)",175904,"AH","ENVIRONMENTAL PROTECTION R&D","034-hand-holding-a-stalk.svg"
"The University of Tennessee-Knoxville","Department of Defense","U.S. Special Operations Command","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",164047,"AD","DEFENSE (OTHER) R&D","137-fighter-plane.svg"
"The University of Tennessee-Knoxville","Department of Energy","Federal Energy Regulatory Commission","B543","SPECIAL STUDIES/ANALYSIS- ENERGY",5000,"B5","SPECIAL STUDIES - NOT R&D","182-books.svg"
"The University of Tennessee-Knoxville","Department of Justice","Federal Bureau of Investigation","U099","OTHER ED & TRNG SVCS",15000,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Tennessee-Knoxville","Department of Justice","U.S. Marshals Service","U008","TRAINING/CURRICULUM DEVELOPMENT",3500,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Tennessee-Knoxville","Department of Labor","Wage and Hour Division","R422","MARKET RESEARCH & PUBLIC OPINION SE",700822.96,"R4","PROFESSIONAL SERVICES","071-strategy.svg"
"The University of Tennessee-Knoxville","Department of Veterans Affairs","Department of Veterans Affairs","U009","EDUCATION/TRAINING- GENERAL",22950,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Tennessee-Knoxville","National Aeronautics and Space Administration","National Aeronautics and Space Administration","U099","OTHER ED & TRNG SVCS",24900,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Tennessee-Knoxville","Peace Corps","Peace Corps","U009","EDUCATION/TRAINING- GENERAL",15856,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Texas at Arlington","Department of Defense","Department of the Air Force","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",13399.76,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Texas at Arlington","Department of Defense","Department of the Army","6910","TRAINING AIDS",26360,"69","TRAINING AIDS & DEVICES","066-presentation-1.svg"
"The University of Texas at Arlington","Department of Defense","Department of the Army","U099","OTHER ED & TRNG SVCS",18500,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Texas at Arlington","Department of Defense","Department of the Navy","AJ42","R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",150000,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"The University of Texas at Arlington","Department of Homeland Security","U.S. Immigration and Customs Enforcement","U099","OTHER ED & TRNG SVCS",7657,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Texas at Arlington","Department of Justice","Federal Prison System / Bureau of Prisons","U001","LECTURES FOR TRAINING",57000,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Texas at Austin","Department of Commerce","National Institute of Standards and Technology","U005","EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES",39600,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Texas at Austin","Department of Defense","Defense Advanced Research Projects Agency","AD91","OTHER DEFENSE (BASIC)",948062,"AD","DEFENSE (OTHER) R&D","137-fighter-plane.svg"
"The University of Texas at Austin","Department of Defense","Defense Advanced Research Projects Agency","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",2415491,"AD","DEFENSE (OTHER) R&D","137-fighter-plane.svg"
"The University of Texas at Austin","Department of Defense","Defense Threat Reduction Agency","AD92","R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",142046.89,"AD","DEFENSE (OTHER) R&D","137-fighter-plane.svg"
"The University of Texas at Austin","Department of Defense","Department of Defense Education Activity","U006","EDUCATION/TRAINING- VOCATIONAL/TECHNICAL",3381121.28,"U0","EDUCATION & TRAINING SERVICES","076-classroom.svg"
"The University of Texas at Austin","Department of Defense","Department of the Air Force","AJ43","ENGINEERING (ADVANCED)",75000,"AJ","GEN. SCIENCE & TECHNOLOGY R&D","190-idea.svg"
"The University of Texas at Austin","Department of Defense","Department of the Army","AD94","OTHER DEFENSE (ENGINEERING)",2584007.71,"AD","DEFENSE (OTHER) R&D","137-fighter-plane.svg"
"The University of Texas at Austin","Department of Defense","Department of the Army","AH91","R&D- ENVIRONMENTAL PROTECTION: OTHER (BASIC RESEARCH)",263823,"AH","ENVIRONMENTAL PROTECTION R&D","034-hand-holding-a-stalk.svg"
"The University of Texas at Austin","Department of Defense","Department of the Navy","AC64","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT)",24507.85,"AC","DEFENSE SYSTEMS R&D","136-submarine.svg"
"The University of Texas at Austin","Department of Defense","Department of the Navy","AC67","R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (COMMERCIALIZED)",18535993,"AC","DEFENSE SYSTEMS R&D","136-submarine.svg"
